unit_id,unit_name,bg_id,face_type
100131,"春咲日和莉",510100,4
100231,"草野优衣",510220,2
100331,"士条怜",510350,2
100431,"穗高未奏希",510340,4
100531,"织原茉莉",510010,4
100631,"风宫茜里",510120,8
100731,"出云宫子",510090,4
100831,"虹村雪",510300,2
100931,"柊杏奈",510300,4
101032,"姬宫真步",510030,4
101131,"衣之咲璃乃",510360,9
101231,"柏崎初音",510330,9
101332,"丹野七七香",510300,4
101431,"雾原香澄",510221,2
101532,"爱川美里",510070,4
101631,"美波铃奈",510300,2
101731,"喜屋武香织",510050,9
101831,"支仓伊绪",510220,2
102031,"茜美美",510330,4
102131,"栗林胡桃",510100,2
102232,"风宫依里",510350,2
102331,"北条绫音",510200,1
102531,"天野铃莓",510040,4
102631,"森近铃",510090,2
102731,"仓石惠理子",510090,4
102832,"佐佐木咲恋",510290,4
102931,"樱井望",510300,9
103031,"妮侬・朱柏尔",510290,9
103131,"上喜忍",510290,4
103231,"藤堂秋乃",510120,4
103331,"野户真阳",510140,4
103431,"绫濑由加莉",510350,2
103631,"冰川镜华",510090,4
103731,"御久间智",510030,3
103832,"柏崎栞",510260,2
104031,"双叶碧",510360,4
104231,"三角千歌",510200,4
104331,"安芸真琴",510220,1
104431,"伊莉亚・奥恩斯坦",510120,4
104532,"远见空花",510150,4
104632,"宫坂珠希",510300,2
104731,"白银纯",510240,2
104831,"大神美冬",510290,4
104931,"星野静流",510090,2
105031,"玉泉美咲",510120,4
105131,"宵滨深月",510140,2
105231,"莉玛",510100,2
105331,"莫妮卡・拜斯温特",510340,4
105432,"茧宫纺希",510351,4
105531,"石桥步美",510040,2
105631,"太刀洗流夏",510290,4
105731,"姬塔",510230,2
105831,"尤丝蒂亚娜・冯・阿斯特莱亚",510300,4
105931,"枣可萝",510120,2
106031,"百地希留耶",510350,2
106131,"园上矛依未",510121,4
106331,"亚里莎",510350,4
106431,"阿贺斗 紫布菜",510124,2
106531,"鬼道嘉夜",510352,4
106631,"一之濑 祈梨",510301,4
106731,"远野 帆稀",510290,4
106831,"模索路 晶",510120,2
107031,"现士实似似花",510181,4
107131,"克莉丝提娜・摩根",510120,4
107531,"尤丝蒂亚娜・冯・阿斯特莱亚",510360,4
107631,"枣可萝",510190,4
107731,"天野铃莓",510190,4
107831,"百地希留耶",510280,2
107931,"宫坂珠希",510250,2
108031,"大神美冬",510250,4
108131,"上喜忍",510300,4
108231,"出云宫子",510030,4
108331,"玉泉美咲",510101,4
108431,"三角千歌",510150,2
108531,"栗林胡桃",510160,2
108631,"北条绫音",510280,1
108731,"春咲日和莉",510360,9
108831,"草野优衣",510220,2
108931,"士条怜",510350,2
109031,"仓石惠理子",510300,4
109131,"星野静流",510090,2
109531,"远见空花",510150,4
109631,"妮侬・朱柏尔",510350,9
110031,"美波铃奈",510250,9
110131,"支仓伊绪",510190,2
110331,"佐佐木咲恋",510170,4
110431,"安芸真琴",510360,1
110531,"喜屋武香织",510250,2
110631,"姬宫真步",510240,4
110731,"双叶碧",510240,4
110831,"黑江花子",510150,2
110931,"风间 千爱瑠",510301,4
111031,"真行寺 由仁",510050,4
111131,"冰川镜华",510301,4
111231,"穗高未奏希",510100,4
111331,"茜美美",510100,4
111431,"露娜",510240,4
111531,"克莉丝提娜・摩根",510280,4
111631,"樱井望",510150,9
111731,"伊莉亚・奥恩斯坦",510282,4
111831,"尤丝蒂亚娜·F·阿斯特莱亚",510100,2
111931,"枣可萝",510140,2
112031,"百地希留耶",510350,2
112131,"天野铃莓",510390,4
112231,"雾原香澄",510320,2
112331,"柏崎栞",510320,2
112431,"岛村 卯月",510100,2
112531,"涉谷 凛",510290,2
112631,"本田 未央",510120,4
112731,"森近 铃",510360,2
112831,"野户 真阳",510280,4
112931,"衣之咲 璃乃",510160,9
113031,"石桥 步美",510150,2
113131,"太刀洗 流夏",510292,2
113231,"柊 杏奈",510250,4
113331,"丹野 七七香",510350,4
113431,"柏崎 初音",510250,4
113531,"爱川 美里",510250,4
113631,"白银 纯",510250,2
113731,"风宫 茜里",510350,4
113831,"风宫 依里",510350,2
113931,"茧宫 纺希",510124,4
114031,"士条 怜",510280,2
114131,"织原 茉莉",510290,4
114231,"莫妮卡·拜斯温特",510124,4
114331,"御久间 智",510030,3
114431,"藤堂 秋乃",510300,4
114531,"佐佐木 咲恋",510100,4
114631,"绫濑 由加莉",510352,2
114731,"园上 矛依未",510290,4
115031,"现士实 似似花",510080,4
115531,"枣 可萝",510240,2
115631,"草野 优衣",510040,4
115731,"雾原 香澄",510160,2
115831,"莉玛",510124,2
115931,"安芸 真琴",510220,1
116031,"姬宫 真步",510124,4
116231,"黑江 花子",510150,2
116331,"风间 千爱瑠",510050,4
116531,"一之濑 祈梨",510301,4
116631,"鬼道 嘉夜",510300,4
116731,"双叶 碧",510390,2
116831,"宫坂 珠希",510120,2
116931,"大神 美冬",510300,4
117031,"仓石 惠理子",510250,2
117131,"星野 静流",510250,4
117231,"樱井 望",510240,9
117331,"三角 千歌",510300,4
117431,"茧宫 纺希",510250,4
117531,"宵滨 深月",510400,4
117631,"虹村 雪",510090,2
117731,"喜屋武 香织",510124,4
117831,"妮侬·朱柏尔",510220,4
117931,"美波 铃奈",510300,2
118031,"克莱尔·波扬西亚",510100,4
118131,"卯之花 兰",510392,4
118531,"观崎 佳凛",510100,2
119031,"支仓 伊绪",510090,2
119131,"远见 空花",510150,4
119231,"野户 真阳",510303,4
119331,"衣之咲 璃乃",510392,9
119931,"出云 宫子",510091,4
120731,"阿贺斗 紫布菜",510130,2
120831,"太刀洗 流夏",510303,2
120931,"伊莉亚·奥恩斯坦",510202,4
121031,"尤丝蒂亚娜·F·阿斯特莱亚",510360,4
121131,"百地 希留耶",510350,2
121231,"模索路 晶",510121,2
