id,unit_id,type,title,description
10010101,100101,201,"解锁效果1",""
10010102,100101,101,"好感度效果1",""
10010103,100101,102,"好感度效果2",""
10010104,100101,103,"好感度效果3",""
10010105,100101,104,"好感度效果4",""
10010106,100101,105,"好感度效果5",""
10010107,100101,106,"好感度效果6",""
10010108,100101,107,"好感度效果7",""
10010109,100101,202,"★6才能开花效果",""
10010110,100101,108,"好感度效果8",""
10010111,100101,109,"好感度效果9",""
10010112,100101,110,"好感度效果10",""
10010113,100101,111,"好感度效果11",""
10020101,100201,201,"解锁效果1",""
10020102,100201,101,"好感度效果1",""
10020103,100201,102,"好感度效果2",""
10020104,100201,103,"好感度效果3",""
10020105,100201,104,"好感度效果4",""
10020106,100201,105,"好感度效果5",""
10020107,100201,106,"好感度效果6",""
10020108,100201,107,"好感度效果7",""
10020109,100201,202,"★6才能开花效果",""
10020110,100201,108,"好感度效果8",""
10020111,100201,109,"好感度效果9",""
10020112,100201,110,"好感度效果10",""
10020113,100201,111,"好感度效果11",""
10030101,100301,201,"解锁效果1",""
10030102,100301,101,"好感度效果1",""
10030103,100301,102,"好感度效果2",""
10030104,100301,103,"好感度效果3",""
10030105,100301,104,"好感度效果4",""
10030106,100301,105,"好感度效果5",""
10030107,100301,106,"好感度效果6",""
10030108,100301,107,"好感度效果7",""
10030109,100301,202,"★6才能开花效果",""
10030110,100301,108,"好感度效果8",""
10030111,100301,109,"好感度效果9",""
10030112,100301,110,"好感度效果10",""
10030113,100301,111,"好感度效果11",""
10040101,100401,201,"解锁效果1",""
10040102,100401,101,"好感度效果1",""
10040103,100401,102,"好感度效果2",""
10040104,100401,103,"好感度效果3",""
10040105,100401,104,"好感度效果4",""
10040106,100401,105,"好感度效果5",""
10040107,100401,106,"好感度效果6",""
10040108,100401,107,"好感度效果7",""
10040109,100401,202,"★6才能开花效果",""
10040110,100401,108,"好感度效果8",""
10040111,100401,109,"好感度效果9",""
10040112,100401,110,"好感度效果10",""
10040113,100401,111,"好感度效果11",""
10050101,100501,201,"解锁效果1",""
10050102,100501,101,"好感度效果1",""
10050103,100501,102,"好感度效果2",""
10050104,100501,103,"好感度效果3",""
10050105,100501,104,"好感度效果4",""
10050106,100501,105,"好感度效果5",""
10050107,100501,106,"好感度效果6",""
10050108,100501,107,"好感度效果7",""
10060101,100601,201,"解锁效果1",""
10060102,100601,101,"好感度效果1",""
10060103,100601,102,"好感度效果2",""
10060104,100601,103,"好感度效果3",""
10060105,100601,104,"好感度效果4",""
10060106,100601,105,"好感度效果5",""
10060107,100601,106,"好感度效果6",""
10060108,100601,107,"好感度效果7",""
10060109,100601,202,"★6才能开花效果",""
10060110,100601,108,"好感度效果8",""
10060111,100601,109,"好感度效果9",""
10060112,100601,110,"好感度效果10",""
10060113,100601,111,"好感度效果11",""
10070101,100701,201,"解锁效果1",""
10070102,100701,101,"好感度效果1",""
10070103,100701,102,"好感度效果2",""
10070104,100701,103,"好感度效果3",""
10070105,100701,104,"好感度效果4",""
10070106,100701,105,"好感度效果5",""
10070107,100701,106,"好感度效果6",""
10070108,100701,107,"好感度效果7",""
10070109,100701,202,"★6才能开花效果",""
10070110,100701,108,"好感度效果8",""
10070111,100701,109,"好感度效果9",""
10070112,100701,110,"好感度效果10",""
10070113,100701,111,"好感度效果11",""
10080101,100801,201,"解锁效果1",""
10080102,100801,101,"好感度效果1",""
10080103,100801,102,"好感度效果2",""
10080104,100801,103,"好感度效果3",""
10080105,100801,104,"好感度效果4",""
10080106,100801,105,"好感度效果5",""
10080107,100801,106,"好感度效果6",""
10080108,100801,107,"好感度效果7",""
10090101,100901,201,"解锁效果1",""
10090102,100901,101,"好感度效果1",""
10090103,100901,102,"好感度效果2",""
10090104,100901,103,"好感度效果3",""
10090105,100901,104,"好感度效果4",""
10090106,100901,105,"好感度效果5",""
10090107,100901,106,"好感度效果6",""
10090108,100901,107,"好感度效果7",""
10100101,101001,201,"解锁效果1",""
10100102,101001,101,"好感度效果1",""
10100103,101001,102,"好感度效果2",""
10100104,101001,103,"好感度效果3",""
10100105,101001,104,"好感度效果4",""
10100106,101001,105,"好感度效果5",""
10100107,101001,106,"好感度效果6",""
10100108,101001,107,"好感度效果7",""
10100109,101001,202,"★6才能开花效果",""
10100110,101001,108,"好感度效果8",""
10100111,101001,109,"好感度效果9",""
10100112,101001,110,"好感度效果10",""
10100113,101001,111,"好感度效果11",""
10110101,101101,201,"解锁效果1",""
