banner_id,type,system_id,gacha_id,condition_id,priority,start_date,end_date,sub_banner_id_1,is_show_room,url,show_type,thumbnail_id,poster_id
10000,1,90001,0,0,1,"2021/12/20 11:00:00","2021/12/31 10:59:59",0,0,0,2,20,20
10001,1,90001,0,0,1,"2023/1/17 11:00:00","2023/3/31 4:59:59",0,0,0,0,0,0
10002,1,90001,0,0,1,"2022/2/14 11:00:00","2022/2/26 4:59:59",0,0,0,2,21,21
10003,1,302,0,0,1,"2020/05/15 11:00:00","2020/05/28 10:59:59",0,0,0,0,0,0
10004,1,302,0,0,1,"2020/05/28 11:00:00","2020/06/08 10:59:59",0,0,0,0,0,0
10005,1,302,0,0,1,"2020/06/08 11:00:00","2020/06/23 10:59:59",0,0,0,0,0,0
10006,1,302,0,0,1,"2020/06/23 11:00:00","2020/07/06 10:59:59",0,0,0,0,0,0
10007,1,302,0,0,2,"2020/07/06 11:00:00","2020/07/20 10:59:59",0,0,0,0,0,0
10008,1,302,0,0,1,"2020/07/20 11:00:00","2020/08/03 10:59:59",0,0,0,0,0,0
10009,1,302,0,0,1,"2020/8/03 11:00:00","2020/08/18 10:59:59",0,0,0,0,0,0
10010,1,302,0,0,1,"2020/08/18 11:00:00","2020/08/30 10:59:59",0,0,0,0,0,0
10011,1,302,0,0,1,"2020/08/30 11:00:00","2020/09/15 10:59:59",0,0,0,0,0,0
10012,1,302,0,0,2,"2020/09/15 11:00:00","2020/09/28 8:59:59",0,0,0,0,0,0
10013,1,302,0,0,2,"2020/09/28 9:00:00","2020/10/09 10:59:59",0,0,0,0,0,0
10014,1,302,0,0,1,"2020/10/09 11:00:00","2020/10/16 10:59:59",0,0,0,0,0,0
10015,1,302,0,0,1,"2020/10/26 11:00:00","2020/11/10 10:59:59",0,0,0,0,0,0
10016,1,302,0,0,1,"2020/11/10 11:00:00","2020/11/23 10:59:59",0,0,0,0,0,0
10017,1,302,0,0,1,"2020/11/30 11:00:00","2020/12/10 8:59:59",0,0,0,0,0,0
10018,1,302,0,0,1,"2020/12/10 9:00:00","2020/12/20 10:59:59",0,0,0,0,0,0
10019,1,302,0,0,1,"2020/12/20 11:00:00","2020/12/30 10:59:59",0,0,0,0,0,0
10020,1,302,0,0,1,"2021/01/08 11:00:00","2021/01/18 10:59:59",0,0,0,0,0,0
10021,1,302,0,0,1,"2021/01/22 11:00:00","2021/02/01 10:59:59",0,0,0,0,0,0
10022,1,302,0,0,1,"2021/02/01 11:00:00","2021/02/14 10:59:59",0,0,0,0,0,0
10023,1,302,0,0,1,"2021/02/14 11:00:00","2021/03/01 10:59:59",0,0,0,0,0,0
10024,1,302,0,0,1,"2021/03/15 11:00:00","2021/03/30 10:59:59",0,0,0,0,0,0
10025,1,302,0,0,1,"2021/03/30 11:00:00","2021/04/12 10:59:59",0,0,0,0,0,0
10026,1,302,0,0,1,"2021/04/12 11:00:00","2021/04/17 8:59:59",0,0,0,0,0,0
10027,1,302,0,0,1,"2021/05/15 9:00:00","2021/05/28 10:59:59",0,0,0,0,0,0
10028,1,302,0,0,1,"2021/06/01 11:00:00","2021/06/14 10:59:59",0,0,0,0,0,0
10029,1,302,0,0,1,"2021/06/21 11:00:00","2021/06/26 10:59:59",0,0,0,0,0,0
10030,1,302,0,0,1,"2021/05/28 9:00:00","2021/06/01 10:59:59",0,0,0,0,0,0
10031,1,302,0,0,1,"2021/06/28 9:00:00","2021/07/12 10:59:59",0,0,0,0,0,0
10032,1,302,0,0,2,"2021/04/17 9:00:00","2021/05/01 10:59:59",0,0,0,0,0,0
10033,1,302,0,0,1,"2021/06/26 11:00:00","2021/06/28 08:59:59",0,0,0,0,0,0
10034,1,302,0,0,1,"2021/05/01 11:00:00","2021/05/15 08:59:59",0,0,0,0,0,0
10035,1,302,0,0,1,"2021/07/12 11:00:00","2021/07/23 10:59:59",0,0,0,0,0,0
10036,1,302,0,0,1,"2022/07/27 11:00:00","2022/07/31 10:59:59",90001,0,0,0,0,0
10037,1,302,0,0,1,"2021/07/27 9:00:00","2021/08/09 10:59:59",0,0,0,0,0,0
10038,1,302,0,0,1,"2021/08/09 11:00:00","2021/08/19 10:59:59",0,0,0,0,0,0
10039,1,302,0,0,1,"2022/08/26 11:00:00","2022/08/31 10:59:59",90002,0,0,0,0,0
10040,1,302,0,0,1,"2021/08/23 11:00:00","2021/09/03 10:59:59",0,0,0,0,0,0
10041,1,302,0,0,1,"2021/09/03 11:00:00","2021/09/06 08:59:59",0,0,0,0,0,0
10042,1,302,0,0,4,"2021/09/09 18:00:00","2021/09/17 10:59:59",0,0,0,0,0,0
10043,1,302,0,0,4,"2021/09/17 11:00:00","2021/09/21 10:59:59",90003,0,0,0,0,0
10044,1,302,0,0,4,"2021/09/21 11:00:00","2021/10/04 10:59:59",0,0,0,0,0,0
10045,1,302,0,0,4,"2021/10/04 11:00:00","2021/10/14 8:59:59",0,0,0,0,0,0
10046,1,302,0,0,4,"2021/10/14 09:00:00","2021/10/19 10:59:59",90004,0,0,2,5,5
10047,1,302,0,0,4,"2021/10/19 11:00:00","2021/11/01 10:59:59",0,0,0,2,10,10
10048,1,302,0,0,4,"2021/11/01 11:00:00","2021/11/12 10:59:59",0,0,0,2,11,11
10049,1,302,0,0,4,"2021/11/12 11:00:00","2021/11/16 10:59:59",0,0,0,2,12,12
10050,1,302,0,0,4,"2021/11/16 11:00:00","2021/11/30 10:59:59",0,0,0,2,14,14
10051,1,302,0,0,4,"2021/11/30 11:00:00","2021/12/11 10:59:59",0,0,0,2,10,10
10052,1,302,0,0,4,"2021/12/11 11:00:00","2021/12/20 10:59:59",90005,0,0,2,11,11
10053,1,302,0,0,4,"2021/12/20 11:00:00","2021/12/31 10:59:59",0,0,0,2,12,12
10054,1,302,0,0,4,"2022/01/03 16:00:00","2022/01/09 10:59:59",0,0,0,2,10,10
10055,1,302,0,0,4,"2022/01/9 11:00:00","2022/01/14 10:59:59",90006,0,0,2,11,11
10056,1,302,0,0,4,"2022/01/14 11:00:00","2022/01/28 8:59:59",0,0,0,2,5,5
10057,1,302,0,0,4,"2022/02/14 11:00:00","2022/02/24 10:59:59",0,0,0,2,5,5
10058,1,302,0,0,4,"2022/02/07 11:00:00","2022/02/14 10:59:59",0,0,0,2,5,5
10059,1,302,0,0,4,"2022/02/24 11:00:00","2022/02/28 8:59:59",90007,0,0,2,6,6
10060,1,302,0,0,4,"2022/02/28 9:00:00","2022/03/13 10:59:59",0,0,0,0,0,0
10061,1,302,0,0,4,"2022/03/13 11:00:00","2022/03/26 10:59:59",0,0,0,0,0,0
10062,1,302,0,0,4,"2022/03/26 11:00:00","2022/03/31 10:59:59",90008,0,0,0,0,0
10063,1,302,0,0,4,"2022/03/31 11:00:00","2022/04/10 10:59:59",0,0,0,0,0,0
10064,1,302,0,0,4,"2022/04/20 18:00:00","2022/04/25 10:59:59",90009,0,0,0,0,0
10065,1,302,0,0,4,"2022/04/10 11:00:00","2022/04/17 10:59:59",0,0,0,0,0,0
10066,1,302,0,0,4,"2022/04/25 11:00:00","2022/04/30 10:59:59",0,0,0,0,0,0
10067,1,302,0,0,4,"2022/04/30 11:00:00","2022/05/10 10:59:59",0,0,0,0,0,0
10068,1,302,0,0,4,"2022/05/10 11:00:00","2022/05/15 10:59:59",90010,0,0,0,0,0
10069,1,302,0,0,4,"2022/05/15 11:00:00","2022/05/31 10:59:59",0,0,0,0,0,0
10070,1,302,0,0,4,"2022/05/31 11:00:00","2022/06/07 08:59:59",0,0,0,0,0,0
10071,1,302,0,0,4,"2022/06/07 09:00:00","2022/06/14 10:59:59",90011,0,0,0,0,0
