id,login_bonus_id,reward_type,reward_id,reward_num
1,9105801,2,31058,10
2,9102001,2,31020,10
3,9100201,2,31002,10
4,9105501,2,31055,10
5,9101601,2,31016,10
6,9112401,2,31124,10
7,9104401,2,31044,10
8,9102301,2,31023,10
9,9105901,2,31059,10
10,9104201,2,31042,10
11,9104001,2,31040,10
12,9102101,2,31021,10
13,9106301,2,31063,10
14,9106501,2,31065,10
15,9100901,2,31009,10
16,9101701,2,31017,10
17,9105601,2,31056,10
18,9105301,2,31053,10
19,9102701,2,31027,10
20,9110801,2,31108,10
21,9104301,2,31043,10
22,9112501,2,31125,10
23,9100401,2,31004,10
24,9103701,2,31037,10
25,9106101,2,31061,10
26,9101801,2,31018,10
27,9101301,2,31013,10
28,9101101,2,31011,10
29,9100101,2,31001,10
30,9103001,2,31030,10
31,9106001,2,31060,10
32,9101501,2,31015,10
33,9105401,2,31054,10
34,9110901,2,31109,10
35,9101001,2,31010,10
36,9106601,2,31066,10
37,9102801,2,31028,10
38,9100801,2,31008,10
39,9104901,2,31049,10
40,9104701,2,31047,10
41,9101401,2,31014,10
42,9109401,2,31094,10
43,9103801,2,31038,10
44,9104801,2,31048,10
45,9104501,2,31045,10
46,9100601,2,31022,10
47,9100601,2,31006,10
48,9100501,2,31005,10
49,9112601,2,31126,10
50,9109201,2,31092,10
51,9102501,2,31025,10
52,9103101,2,31031,10
53,9101201,2,31012,10
54,9102601,2,31026,10
55,9105001,2,31050,10
56,9100301,2,31003,10
57,9100701,2,31007,10
58,9102901,2,31029,10
59,9103601,2,31036,10
60,9109301,2,31093,10
61,9107101,2,31071,10
62,9111001,2,31110,10
63,9104601,2,31046,10
64,9103301,2,31033,10
65,9105101,2,31051,10
66,9105701,2,31057,10
67,9103201,2,31032,10
68,9105201,2,31052,10
69,9103401,2,31034,10
70,9107001,2,31070,10
71,9105802,2,31058,10
72,9102002,2,31020,10
73,9100202,2,31002,10
74,9105502,2,31055,10
75,9101602,2,31016,10
77,9104402,2,31044,10
78,9102302,2,31023,10
79,9105902,2,31059,10
