id,campaign_id,freegacha_1,freegacha_10,start_time,end_time,stock_10_flag,relation_id,relation_count
1,1,0,1,"2020/06/27 5:00:00","2020/07/08 4:59:59",0,0,0
2,2,0,1,"2020/09/15 5:00:00","2020/09/29 4:59:59",0,0,0
3,3,0,1,"2021/01/08 5:00:00","2021/01/22 4:59:59",0,0,0
4,4,0,1,"2021/03/01 5:00:00","2021/03/15 4:59:59",1,0,0
5,5,0,0,"2021/03/15 5:00:00","2021/04/17 4:59:59",1,4,14
6,6,0,1,"2021/08/21 5:00:00","2021/09/07 4:59:59",1,0,0
7,7,0,1,"2021/12/20 5:00:00","2022/01/03 15:59:59",1,0,0
8,8,0,1,"2022/01/28 5:00:00","2022/02/12 4:59:59",1,0,0
9,9,0,1,"2022/04/30 5:00:00","2022/05/07 4:59:59",1,0,0
10,10,0,1,"2022/08/15 5:00:00","2022/09/01 4:59:59",1,0,0
11,11,0,1,"2022/11/10 5:00:00","2022/11/17 4:59:59",1,0,0
12,12,0,0,"2022/11/17 5:00:00","2022/11/30 4:59:59",1,11,7
13,13,0,1,"2022/12/21 5:00:00","2023/01/04 4:59:59",1,0,0
14,14,0,0,"2023/01/04 5:00:00","2023/01/31 4:59:59",1,13,14
15,15,0,1,"2023/02/15 5:00:00","2023/03/01 4:59:59",1,0,0
16,16,0,0,"2023/03/01 5:00:00","2023/03/31 4:59:59",1,15,14
17,17,0,1,"2023/04/28 5:00:00","2023/05/08 4:59:59",1,0,0
