id,campaign_mission_reward_id,reward_type,reward_id,reward_num
1,30109001,8,91002,100
2,30109001,2,20002,10
3,30109002,8,91002,100
4,30109002,12,94002,40000
5,30109003,8,91002,300
6,30109004,8,91002,500
7,30109005,8,91002,500
8,30109005,12,94002,1000000
9,30109006,8,91002,500
10,30109006,12,94002,500000
11,30110001,8,91002,600
12,30110006,12,94002,200000
13,30109101,8,91002,100
14,30109101,2,20002,10
15,30109102,8,91002,100
16,30109102,12,94002,40000
17,30109103,8,91002,300
18,30109104,8,91002,500
19,30109105,8,91002,500
20,30109105,12,94002,1000000
21,30109106,8,91002,500
22,30109106,12,94002,500000
23,30110101,8,91002,300
24,30110106,12,94002,300000
