command_id,drama_id,command_type,param_01,param_02,param_03,param_04,param_05,param_06,param_07,param_08
101001,101,5,1,1,100,-420,-230,160,0,cgg_idle_normal
101002,101,1,1,105811,100,375,-230,1.6,1,cgg_idle_def
101003,101,1,1,106011,101,490,-230,1.6,1,cgg_idle_def
101004,101,6,1,1,1,1,1,0.1,0,""
101005,101,6,105811,1,1,1,1,0.1,0,""
101006,101,6,106011,1,1,1,1,0.1,0,""
101007,101,93,0.2,0,"","","","","",""
101008,101,21,vo_minigame_1007,vo_minigame_1007_top_talk_1_001,0,0,"","","",""
101009,101,11,105811,"見てください\nキャルちゃん♪\nカルミナのグッズが\nいっぱいですよ☆",7,0,0,0,0,0
101010,101,3,1,cgg_idle_surprise1,1,"","",0.2,"",""
101011,101,3,105811,cgg_surprise_kira,0,cgg_talk_surprise_kira,1,0.2,0,""
101012,101,93,2.1,0,"","","","","",""
101013,101,3,1,cgg_idle_surprise3,1,"","",0.2,"",""
101014,101,3,105811,cgg_talk_joy1,1,"","",0.2,"",""
101015,101,91,101009,"","","","","","",""
101016,101,3,105811,cgg_idle_def,1,"","",0.2,"",""
101017,101,21,vo_minigame_1007,vo_minigame_1007_top_talk_1_002,0,0,"","","",""
101018,101,11,106011,"こんなにあるのね…\nこういうのってつい\n全部集めたく\nなっちゃうのよね",6,0,0,0,0,0
101019,101,3,1,cgg_idle_reaction1,1,"","",0.2,"",""
101020,101,3,106011,cgg_talk_surprise1,1,"","",0.2,"",""
101021,101,93,2.1,0,"","","","","",""
101022,101,3,1,cgg_idle_nod,1,"","",0.2,"",""
101023,101,3,106011,cgg_talk_bitter,1,"","",0.2,"",""
101024,101,91,101018,"","","","","","",""
101025,101,93,0.5,0,"","","","","",""
101026,101,3,1,cgg_idle_normal,1,"","",0.2,"",""
101027,101,3,106011,cgg_idle_def,1,"","",0.2,"",""
101028,101,3,105811,cgg_idle_joy2,1,"","",0.2,"",""
101029,101,12,105811,10,1.4,"","",0.2,"",""
101030,101,93,3,0,"","","","","",""
101031,101,3,105811,cgg_idle_def,1,"","",0.2,"",""
101032,101,3,106011,cgg_talk_surprise_dere,1,"","",0.2,"",""
101033,101,12,106011,8,1.4,"","",0.2,"",""
101034,101,93,3,0,"","","","","",""
101035,101,3,106011,cgg_idle_def,1,"","",0.2,"",""
101036,101,3,1,cgg_surprise1,0,cgg_idle_surprise1,1,0.2,0,""
101037,101,12,1,4,1.4,"","",0.2,"",""
