unit_id,chara_type,chara_type_2,chara_type_3
100101,1,0,0
100201,2,0,0
100301,3,0,0
100401,4,0,0
100501,5,0,0
100601,6,0,0
100701,7,0,0
100801,8,0,0
100901,9,0,0
101001,10,0,0
101101,11,0,0
101201,12,0,0
101301,13,0,0
101401,14,0,0
101501,15,0,0
101601,16,0,0
101701,17,0,0
101801,18,0,0
102001,20,0,0
102101,21,0,0
102201,22,0,0
102301,23,0,0
102501,25,0,0
102601,26,0,0
102701,27,0,0
102801,28,0,0
102901,29,0,0
103001,30,0,0
103101,31,0,0
103201,32,0,0
103301,33,0,0
103401,34,0,0
103601,36,0,0
103701,37,0,0
103801,38,0,0
104001,40,0,0
104201,42,0,0
104301,43,0,0
104401,44,0,0
104501,45,0,0
104601,46,0,0
104701,47,0,0
104801,48,0,0
104901,49,0,0
105001,50,0,0
105101,51,0,0
105201,52,0,0
105301,53,0,0
105401,54,0,0
105501,55,0,0
105601,56,0,0
105701,57,0,0
105801,58,0,0
105901,59,0,0
106001,60,0,0
106101,61,0,0
106301,63,0,0
106401,64,0,0
106501,65,0,0
106601,66,0,0
106701,67,0,0
106801,68,0,0
107001,70,0,0
107101,71,0,0
107501,58,0,0
107601,59,0,0
107701,25,0,0
107801,60,0,0
107901,46,0,0
108001,48,0,0
108101,31,0,0
108201,7,0,0
108301,50,0,0
108401,42,0,0
108501,21,0,0
108601,23,0,0
108701,1,0,0
108801,2,0,0
108901,3,0,0
109001,27,0,0
109101,49,0,0
109201,92,0,0
109301,93,0,0
109401,94,0,0
109501,45,0,0
109601,30,0,0
109701,97,0,0
109801,98,0,0
109901,99,0,0
110001,16,0,0
110101,18,0,0
110301,28,0,0
110401,43,0,0
110501,17,0,0
110601,10,0,0
110701,40,0,0
110801,108,0,0
110901,109,0,0
111001,110,0,0
111101,36,0,0
111201,4,0,0
111301,20,0,0
111401,114,0,0
111501,71,0,0
111601,29,0,0
111701,44,0,0
111801,58,0,0
111901,59,0,0
112001,60,0,0
112101,25,0,0
112201,14,0,0
112301,38,0,0
112401,124,0,0
112501,125,0,0
112601,126,0,0
112701,26,0,0
112801,33,0,0
112901,11,0,0
113001,55,0,0
113101,56,0,0
113201,9,0,0
113301,13,0,0
113401,12,0,0
113501,15,0,0
113601,47,0,0
113701,6,0,0
113801,22,0,0
113901,54,0,0
114001,3,0,0
114101,5,0,0
114201,53,0,0
114301,37,0,0
114401,32,0,0
114501,28,0,0
114601,34,0,0
114701,61,0,0
115001,70,0,0
115501,59,0,0
115601,2,0,0
115701,14,0,0
115801,52,0,0
115901,43,0,0
116001,10,0,0
116201,108,0,0
116301,109,0,0
116401,110,0,0
116501,66,0,0
116601,65,0,0
116701,40,0,0
116801,46,0,0
116901,48,0,0
117001,27,0,0
117101,49,0,0
117201,29,0,0
117301,42,0,0
117401,54,0,0
117501,51,0,0
117601,8,0,0
117701,17,0,0
117801,30,0,0
117901,16,0,0
118001,180,0,0
118101,181,0,0
118301,12,0,0
118401,38,0,0
118501,185,0,0
119001,18,0,0
119101,45,0,0
119201,33,0,0
119301,11,0,0
119901,7,0,0
120401,20,0,0
120501,4,0,0
120601,36,0,0
120701,64,0,0
120801,56,0,0
120901,44,0,0
121001,58,0,0
121101,60,0,0
121201,68,0,0
121301,21,0,0
121401,50,0,0
121501,55,0,0
121601,66,0,0
121701,32,0,0
121801,28,0,0
121901,9,0,0
122001,31,0,0
122101,40,0,0
122201,34,0,0
170101,701,0,0
170201,701,0,0
180101,1,0,0
180201,2,0,0
180301,3,0,0
180401,58,0,0
180501,59,0,0
180601,60,0,0
180701,12,38,0
180801,4,20,36
180901,32,28,0
