id,clan_battle_id,period,rank_from,rank_to,ranking_bonus_group,reward_type_1,reward_id_1,reward_num_1,reward_type_2,reward_id_2,reward_num_2,reward_type_3,reward_id_3,reward_num_3,reward_type_4,reward_id_4,reward_num_4,reward_type_5,reward_id_5,reward_num_5
1,1001,1,1,3,0,8,91002,20000,2,90006,5000,2,31043,30,0,0,0,0,0,0
2,1001,1,4,10,0,8,91002,15000,2,90006,5000,2,31043,30,0,0,0,0,0,0
3,1001,1,11,20,0,8,91002,12000,2,90006,5000,2,31043,30,0,0,0,0,0,0
4,1001,1,21,50,0,8,91002,10000,2,90006,5000,2,31043,30,0,0,0,0,0,0
5,1001,1,51,200,0,8,91002,8000,2,90006,5000,2,31043,30,0,0,0,0,0,0
6,1001,1,201,600,0,8,91002,6000,2,90006,4500,2,31043,25,0,0,0,0,0,0
7,1001,1,601,1200,0,8,91002,4000,2,90006,4000,2,31043,25,0,0,0,0,0,0
8,1001,1,1201,2800,0,8,91002,3500,2,90006,3500,2,31043,20,0,0,0,0,0,0
9,1001,1,2801,5000,0,8,91002,3000,2,90006,3000,2,31043,20,0,0,0,0,0,0
10,1001,1,5001,10000,0,8,91002,2500,2,90006,2500,2,31043,15,0,0,0,0,0,0
11,1001,1,10001,15000,0,8,91002,2000,2,90006,2000,2,31043,15,0,0,0,0,0,0
12,1001,1,15001,25000,0,8,91002,1500,2,90006,1500,2,31043,15,0,0,0,0,0,0
13,1001,1,25001,40000,0,8,91002,1000,2,90006,1000,2,31043,10,0,0,0,0,0,0
14,1001,1,40001,60000,0,8,91002,750,2,90006,750,2,31043,10,0,0,0,0,0,0
15,1001,1,60001,-1,0,8,91002,500,2,90006,500,2,31043,10,0,0,0,0,0,0
16,1002,1,1,3,0,8,91002,20000,2,90006,5000,2,31022,30,0,0,0,0,0,0
17,1002,1,4,10,0,8,91002,15000,2,90006,5000,2,31022,30,0,0,0,0,0,0
18,1002,1,11,20,0,8,91002,12000,2,90006,5000,2,31022,30,0,0,0,0,0,0
19,1002,1,21,50,0,8,91002,10000,2,90006,5000,2,31022,30,0,0,0,0,0,0
20,1002,1,51,200,0,8,91002,8000,2,90006,5000,2,31022,30,0,0,0,0,0,0
21,1002,1,201,600,0,8,91002,6000,2,90006,4500,2,31022,25,0,0,0,0,0,0
22,1002,1,601,1200,0,8,91002,4000,2,90006,4000,2,31022,25,0,0,0,0,0,0
23,1002,1,1201,2800,0,8,91002,3500,2,90006,3500,2,31022,20,0,0,0,0,0,0
24,1002,1,2801,5000,0,8,91002,3000,2,90006,3000,2,31022,20,0,0,0,0,0,0
25,1002,1,5001,10000,0,8,91002,2500,2,90006,2500,2,31022,15,0,0,0,0,0,0
26,1002,1,10001,15000,0,8,91002,2000,2,90006,2000,2,31022,15,0,0,0,0,0,0
27,1002,1,15001,25000,0,8,91002,1500,2,90006,1500,2,31022,15,0,0,0,0,0,0
28,1002,1,25001,40000,0,8,91002,1000,2,90006,1000,2,31022,10,0,0,0,0,0,0
29,1002,1,40001,60000,0,8,91002,750,2,90006,750,2,31022,10,0,0,0,0,0,0
30,1002,1,60001,-1,0,8,91002,500,2,90006,500,2,31022,10,0,0,0,0,0,0
31,1003,1,1,20,0,8,91002,5000,2,90006,5000,2,31042,30,0,0,0,0,0,0
32,1003,1,21,100,0,8,91002,4500,2,90006,4500,2,31042,25,0,0,0,0,0,0
33,1003,1,101,250,0,8,91002,4000,2,90006,4000,2,31042,20,0,0,0,0,0,0
34,1003,1,251,500,0,8,91002,3500,2,90006,3500,2,31042,18,0,0,0,0,0,0
35,1003,1,501,1000,0,8,91002,3000,2,90006,3000,2,31042,16,0,0,0,0,0,0
36,1003,1,1001,2000,0,8,91002,2500,2,90006,2500,2,31042,14,0,0,0,0,0,0
37,1003,1,2001,3000,0,8,91002,2000,2,90006,2000,2,31042,12,0,0,0,0,0,0
38,1003,1,3001,5000,0,8,91002,1500,2,90006,1500,2,31042,10,0,0,0,0,0,0
39,1003,1,5001,10000,0,8,91002,1000,2,90006,1000,2,31042,8,0,0,0,0,0,0
40,1003,1,10001,-1,0,8,91002,500,2,90006,500,2,31042,5,0,0,0,0,0,0
41,1004,1,1,20,0,8,91002,5000,2,90006,5000,2,31018,30,0,0,0,0,0,0
42,1004,1,21,100,0,8,91002,4500,2,90006,4500,2,31018,25,0,0,0,0,0,0
43,1004,1,101,250,0,8,91002,4000,2,90006,4000,2,31018,20,0,0,0,0,0,0
44,1004,1,251,500,0,8,91002,3500,2,90006,3500,2,31018,18,0,0,0,0,0,0
45,1004,1,501,1000,0,8,91002,3000,2,90006,3000,2,31018,16,0,0,0,0,0,0
46,1004,1,1001,2000,0,8,91002,2500,2,90006,2500,2,31018,14,0,0,0,0,0,0
47,1004,1,2001,3000,0,8,91002,2000,2,90006,2000,2,31018,12,0,0,0,0,0,0
48,1004,1,3001,5000,0,8,91002,1500,2,90006,1500,2,31018,10,0,0,0,0,0,0
49,1004,1,5001,10000,0,8,91002,1000,2,90006,1000,2,31018,8,0,0,0,0,0,0
50,1004,1,10001,-1,0,8,91002,500,2,90006,500,2,31018,5,0,0,0,0,0,0
51,1005,1,1,20,0,8,91002,5000,2,90006,5000,2,31025,30,0,0,0,0,0,0
52,1005,1,21,100,0,8,91002,4500,2,90006,4500,2,31025,25,0,0,0,0,0,0
53,1005,1,101,250,0,8,91002,4000,2,90006,4000,2,31025,20,0,0,0,0,0,0
54,1005,1,251,500,0,8,91002,3500,2,90006,3500,2,31025,18,0,0,0,0,0,0
55,1005,1,501,1000,0,8,91002,3000,2,90006,3000,2,31025,16,0,0,0,0,0,0
56,1005,1,1001,2000,0,8,91002,2500,2,90006,2500,2,31025,14,0,0,0,0,0,0
57,1005,1,2001,3000,0,8,91002,2000,2,90006,2000,2,31025,12,0,0,0,0,0,0
58,1005,1,3001,5000,0,8,91002,1500,2,90006,1500,2,31025,10,0,0,0,0,0,0
59,1005,1,5001,10000,0,8,91002,1000,2,90006,1000,2,31025,8,0,0,0,0,0,0
60,1005,1,10001,-1,0,8,91002,500,2,90006,500,2,31025,5,0,0,0,0,0,0
61,1006,1,1,20,0,8,91002,5000,2,90006,5000,2,31043,30,0,0,0,0,0,0
62,1006,1,21,100,0,8,91002,4500,2,90006,4500,2,31043,25,0,0,0,0,0,0
63,1006,1,101,250,0,8,91002,4000,2,90006,4000,2,31043,20,0,0,0,0,0,0
64,1006,1,251,500,0,8,91002,3500,2,90006,3500,2,31043,18,0,0,0,0,0,0
65,1006,1,501,1000,0,8,91002,3000,2,90006,3000,2,31043,16,0,0,0,0,0,0
66,1006,1,1001,2000,0,8,91002,2500,2,90006,2500,2,31043,14,0,0,0,0,0,0
67,1006,1,2001,3000,0,8,91002,2000,2,90006,2000,2,31043,12,0,0,0,0,0,0
68,1006,1,3001,5000,0,8,91002,1500,2,90006,1500,2,31043,10,0,0,0,0,0,0
69,1006,1,5001,10000,0,8,91002,1000,2,90006,1000,2,31043,8,0,0,0,0,0,0
70,1006,1,10001,-1,0,8,91002,500,2,90006,500,2,31043,5,0,0,0,0,0,0
71,1007,1,1,20,0,8,91002,5000,2,90006,5000,2,31022,30,0,0,0,0,0,0
72,1007,1,21,100,0,8,91002,4500,2,90006,4500,2,31022,25,0,0,0,0,0,0
73,1007,1,101,250,0,8,91002,4000,2,90006,4000,2,31022,20,0,0,0,0,0,0
74,1007,1,251,500,0,8,91002,3500,2,90006,3500,2,31022,18,0,0,0,0,0,0
75,1007,1,501,1000,0,8,91002,3000,2,90006,3000,2,31022,16,0,0,0,0,0,0
76,1007,1,1001,2000,0,8,91002,2500,2,90006,2500,2,31022,14,0,0,0,0,0,0
77,1007,1,2001,3000,0,8,91002,2000,2,90006,2000,2,31022,12,0,0,0,0,0,0
78,1007,1,3001,5000,0,8,91002,1500,2,90006,1500,2,31022,10,0,0,0,0,0,0
79,1007,1,5001,10000,0,8,91002,1000,2,90006,1000,2,31022,8,0,0,0,0,0,0
80,1007,1,10001,-1,0,8,91002,500,2,90006,500,2,31022,5,0,0,0,0,0,0
81,1008,1,1,20,0,8,91002,5000,2,90006,5000,2,31042,30,0,0,0,0,0,0
82,1008,1,21,100,0,8,91002,4500,2,90006,4500,2,31042,25,0,0,0,0,0,0
83,1008,1,101,250,0,8,91002,4000,2,90006,4000,2,31042,20,0,0,0,0,0,0
84,1008,1,251,500,0,8,91002,3500,2,90006,3500,2,31042,18,0,0,0,0,0,0
85,1008,1,501,1000,0,8,91002,3000,2,90006,3000,2,31042,16,0,0,0,0,0,0
86,1008,1,1001,2000,0,8,91002,2500,2,90006,2500,2,31042,14,0,0,0,0,0,0
87,1008,1,2001,3000,0,8,91002,2000,2,90006,2000,2,31042,12,0,0,0,0,0,0
88,1008,1,3001,5000,0,8,91002,1500,2,90006,1500,2,31042,10,0,0,0,0,0,0
89,1008,1,5001,10000,0,8,91002,1000,2,90006,1000,2,31042,8,0,0,0,0,0,0
90,1008,1,10001,-1,0,8,91002,500,2,90006,500,2,31042,5,0,0,0,0,0,0
91,1009,1,1,20,0,8,91002,5000,2,90006,5000,2,31018,30,0,0,0,0,0,0
92,1009,1,21,100,0,8,91002,4500,2,90006,4500,2,31018,25,0,0,0,0,0,0
93,1009,1,101,250,0,8,91002,4000,2,90006,4000,2,31018,20,0,0,0,0,0,0
94,1009,1,251,500,0,8,91002,3500,2,90006,3500,2,31018,18,0,0,0,0,0,0
95,1009,1,501,1000,0,8,91002,3000,2,90006,3000,2,31018,16,0,0,0,0,0,0
96,1009,1,1001,2000,0,8,91002,2500,2,90006,2500,2,31018,14,0,0,0,0,0,0
97,1009,1,2001,3000,0,8,91002,2000,2,90006,2000,2,31018,12,0,0,0,0,0,0
98,1009,1,3001,5000,0,8,91002,1500,2,90006,1500,2,31018,10,0,0,0,0,0,0
99,1009,1,5001,10000,0,8,91002,1000,2,90006,1000,2,31018,8,0,0,0,0,0,0
100,1009,1,10001,-1,0,8,91002,500,2,90006,500,2,31018,5,0,0,0,0,0,0
101,1010,1,1,20,0,8,91002,5000,2,90006,5000,2,31025,30,0,0,0,0,0,0
102,1010,1,21,100,0,8,91002,4500,2,90006,4500,2,31025,25,0,0,0,0,0,0
103,1010,1,101,250,0,8,91002,4000,2,90006,4000,2,31025,20,0,0,0,0,0,0
104,1010,1,251,500,0,8,91002,3500,2,90006,3500,2,31025,18,0,0,0,0,0,0
105,1010,1,501,1000,0,8,91002,3000,2,90006,3000,2,31025,16,0,0,0,0,0,0
106,1010,1,1001,2000,0,8,91002,2500,2,90006,2500,2,31025,14,0,0,0,0,0,0
107,1010,1,2001,3000,0,8,91002,2000,2,90006,2000,2,31025,12,0,0,0,0,0,0
108,1010,1,3001,5000,0,8,91002,1500,2,90006,1500,2,31025,10,0,0,0,0,0,0
109,1010,1,5001,10000,0,8,91002,1000,2,90006,1000,2,31025,8,0,0,0,0,0,0
110,1010,1,10001,-1,0,8,91002,500,2,90006,500,2,31025,5,0,0,0,0,0,0
111,1011,1,1,20,0,8,91002,5000,2,90006,5000,2,31043,30,0,0,0,0,0,0
112,1011,1,21,100,0,8,91002,4500,2,90006,4500,2,31043,25,0,0,0,0,0,0
