event_id,system_name,tutorial_quest_id,tutorial_chara_index,tutorial_story_id
10033,"信赖度",10033103,1,6033201
10038,"信赖度",10038103,1,6038101
10040,"信赖度",10067103,1,6040101
10042,"信赖度",10042103,1,6042101
10043,"信赖度",10043102,1,6019101
10044,"信赖度",10044103,1,6044101
10047,"信赖度",10047103,1,6023101
10048,"信赖度",10048103,1,6048101
10049,"信赖度",10049102,1,6025101
10050,"信赖度",10050103,1,6050106
10051,"信赖度",10051103,1,6027101
10052,"信赖度",10052103,1,6052101
10053,"信赖度",10053102,1,6017101
10054,"信赖度",10054103,1,6054101
10055,"信赖度",10055103,1,6029201
10056,"信赖度",10056103,1,6056101
10061,"信赖度",10061106,1,6061101
10066,"信赖度",10066108,1,6066101
