id,mission_reward_id,reward_type,reward_id,reward_num,icon_type
1,58002001,15,10101001,1,1001
2,58002002,15,10101002,1,1002
3,58002003,15,10101003,1,1003
4,56011001,15,10201001,1,1001
5,56011002,15,10201002,1,1002
6,56011003,15,10201003,1,1003
7,56011003,8,91002,50,0
8,56011004,15,10201004,1,1001
9,56011005,15,10201005,1,1002
10,56011006,15,10201006,1,1003
11,56011006,8,91002,50,0
12,56011007,15,10201007,1,1001
13,56011008,15,10201008,1,1002
14,56011009,15,10201009,1,1003
15,56011009,8,91002,50,0
16,56011010,15,10201010,1,1001
17,56011011,15,10201011,1,1002
18,56011012,15,10201012,1,1003
19,56011012,8,91002,50,0
20,56011013,15,10201013,1,1001
21,56011014,15,10201014,1,1002
22,56011015,15,10201015,1,1003
23,56011015,8,91002,50,0
24,56011016,15,10201016,1,1001
25,56011017,15,10201017,1,1002
26,56011018,15,10201018,1,1003
27,56011018,8,91002,50,0
28,56011019,15,10201019,1,1001
29,56011020,15,10201020,1,1002
30,56011021,15,10201021,1,1003
31,56011021,8,91002,50,0
32,56011022,15,10201022,1,1001
33,56011023,15,10201023,1,1002
34,56011024,15,10201024,1,1003
35,56011024,8,91002,50,0
36,56011025,15,10201025,1,1001
37,56011026,15,10201026,1,1002
38,56011027,15,10201027,1,1003
39,56011027,8,91002,50,0
40,56011028,15,10201028,1,1001
41,56011029,15,10201029,1,1002
42,56011030,15,10201030,1,1003
43,56011030,8,91002,50,0
44,56011031,15,10201031,1,1001
45,56011032,15,10201032,1,1002
46,56011033,15,10201033,1,1003
47,56011033,8,91002,50,0
48,56011034,15,10201034,1,1001
49,56011035,15,10201035,1,1002
50,56011036,15,10201036,1,1003
51,56011036,8,91002,50,0
52,56011037,15,10201037,1,1001
53,56011038,15,10201038,1,1002
54,56011039,15,10201039,1,1003
55,56011039,8,91002,50,0
56,56011040,15,10201040,1,1001
57,56011041,15,10201041,1,1002
58,56011042,15,10201042,1,1003
59,56011042,8,91002,50,0
60,56011043,15,10201043,1,1001
61,56011044,15,10201044,1,1002
62,56011045,15,10201045,1,1003
63,56011045,8,91002,50,0
64,56011046,15,10201046,1,1001
65,56011047,15,10201047,1,1002
66,56011048,15,10201048,1,1003
67,56011048,8,91002,50,0
68,56011049,15,10201049,1,1001
69,56011050,15,10201050,1,1002
70,56011051,15,10201051,1,1003
71,56011051,8,91002,50,0
72,56011052,15,10201052,1,1001
73,56011053,15,10201053,1,1002
74,56011054,15,10201054,1,1003
75,56011054,8,91002,50,0
76,56011055,15,10201055,1,1001
77,56011056,15,10201056,1,1002
78,56011057,15,10201057,1,1003
79,56011057,8,91002,50,0
80,56011058,15,10201058,1,1001
81,56011059,15,10201059,1,1002
82,56011060,15,10201060,1,1003
83,56011060,8,91002,50,0
84,56011061,15,10201061,1,1001
85,56011062,15,10201062,1,1002
86,56011063,15,10201063,1,1003
87,56011063,8,91002,50,0
88,56011064,15,10201064,1,1001
89,56011065,15,10201065,1,1002
90,56011066,15,10201066,1,1003
91,56011066,8,91002,50,0
92,56011067,15,10201067,1,1001
93,56011068,15,10201068,1,1002
94,56011069,15,10201069,1,1003
95,56011069,8,91002,50,0
96,56011070,15,10201070,1,1001
97,56011071,15,10201071,1,1002
98,56011072,15,10201072,1,1003
99,56011072,8,91002,50,0
100,56011073,15,10201073,1,1001
101,56011074,15,10201074,1,1002
102,56011075,15,10201075,1,1003
103,56011075,8,91002,50,0
104,56011076,15,10201076,1,1001
105,56011077,15,10201077,1,1002
106,56011078,15,10201078,1,1003
107,56011078,8,91002,50,0
108,56011079,15,10201079,1,1001
109,56011080,15,10201080,1,1002
110,56011081,15,10201081,1,1003
111,56011081,8,91002,50,0
112,56011082,15,10201082,1,1001
113,56011083,15,10201083,1,1002
114,56011084,15,10201084,1,1003
115,56011084,8,91002,50,0
116,56011085,15,10201085,1,1001
117,56011086,15,10201086,1,1002
118,56011087,15,10201087,1,1003
119,56011087,8,91002,50,0
120,56011088,15,10201088,1,1001
121,56011089,15,10201089,1,1002
122,56011090,15,10201090,1,1003
123,56011090,8,91002,50,0
124,56011091,15,10201091,1,1001
125,56011092,15,10201092,1,1002
126,56011093,15,10201093,1,1003
127,56011093,8,91002,50,0
128,56011094,15,10201094,1,1001
129,56011095,15,10201095,1,1002
130,56011096,15,10201096,1,1003
131,56011096,8,91002,50,0
132,56011097,15,10201097,1,1001
133,56011098,15,10201098,1,1002
134,56011099,15,10201099,1,1003
135,56011099,8,91002,50,0
136,56011100,15,10201100,1,1001
137,56011101,15,10201101,1,1002
138,56011102,15,10201102,1,1003
139,56011102,8,91002,50,0
140,56011103,15,10201103,1,1001
141,56011104,15,10201104,1,1002
142,56011105,15,10201105,1,1003
143,56011105,8,91002,50,0
144,56011106,15,10201106,1,1001
145,56011107,15,10201107,1,1002
146,56011108,15,10201108,1,1003
147,56011108,8,91002,50,0
148,56011109,15,10201109,1,1001
149,56011110,15,10201110,1,1002
150,56011111,15,10201111,1,1003
151,56011111,8,91002,50,0
152,56011112,15,10201112,1,1001
153,56011113,15,10201113,1,1002
154,56011114,15,10201114,1,1003
155,56011114,8,91002,50,0
156,56011115,15,10201115,1,1001
157,56011116,15,10201116,1,1002
158,56011117,15,10201117,1,1003
159,56011117,8,91002,50,0
160,56011118,15,10201118,1,1001
161,56011119,15,10201119,1,1002
162,56011120,15,10201120,1,1003
163,56011120,8,91002,50,0
164,56011121,15,10201121,1,1001
165,56011122,15,10201122,1,1002
166,56011123,15,10201123,1,1003
167,56011123,8,91002,50,0
168,56011124,15,10201124,1,1001
169,56011125,15,10201125,1,1002
170,56011126,15,10201126,1,1003
171,56011126,8,91002,50,0
172,56011127,15,10201127,1,1001
173,56011128,15,10201128,1,1002
174,56011129,15,10201129,1,1003
175,56011129,8,91002,50,0
176,56011130,15,10201130,1,1001
177,56011131,15,10201131,1,1002
178,56011132,15,10201132,1,1003
179,56011132,8,91002,50,0
180,56011133,15,10201133,1,1001
181,56011134,15,10201134,1,1002
182,56011135,15,10201135,1,1003
183,56011135,8,91002,50,0
184,56011136,15,10201136,1,1001
185,56011137,15,10201137,1,1002
186,56011138,15,10201138,1,1003
187,56011138,8,91002,50,0
188,56011139,15,10201139,1,1001
