comment_id,where_type,character_id,face_type,character_name,description,voice_id,start_time,end_time,pos_x,pos_y,change_face_time,change_face_type,event_id
51001,51,108101,1,"ハロウィンシノブ","",201,"2020/10/26 11:00:00","2020/11/19 14:59:59",-285.0,8.0,1.13,2,10007
51002,51,108201,1,"ハロウィンミヤコ","",101,"2020/10/26 11:00:00","2020/11/19 14:59:59",-285.0,8.0,1.13,2,10007
51003,51,108101,1,"ハロウィンシノブ","",202,"2020/10/26 11:00:00","2020/11/19 14:59:59",-285.0,8.0,1.13,2,10007
51004,51,108201,1,"ハロウィンミヤコ","",102,"2020/10/26 11:00:00","2020/11/19 14:59:59",-285.0,8.0,1.13,2,10007
51005,51,108101,1,"ハロウィンシノブ","",203,"2020/10/26 11:00:00","2020/11/19 14:59:59",-285.0,8.0,1.13,2,10007
51006,51,108201,1,"ハロウィンミヤコ","",103,"2020/10/26 11:00:00","2020/11/19 14:59:59",-285.0,8.0,1.13,2,10007
51007,52,108101,1,"ハロウィンシノブ","",204,"2020/10/26 11:00:00","2020/11/19 14:59:59",-285.0,8.0,1.13,2,10007
51008,52,108201,1,"ハロウィンミヤコ","",104,"2020/10/26 11:00:00","2020/11/19 14:59:59",-285.0,8.0,1.13,2,10007
51009,52,108101,1,"ハロウィンシノブ","",205,"2020/10/26 11:00:00","2020/11/19 14:59:59",-285.0,8.0,1.13,2,10007
51010,52,108201,1,"ハロウィンミヤコ","",105,"2020/10/26 11:00:00","2020/11/19 14:59:59",-285.0,8.0,1.13,2,10007
51011,52,108101,1,"ハロウィンシノブ","",206,"2020/10/26 11:00:00","2020/11/19 14:59:59",-285.0,8.0,1.13,2,10007
51012,52,108201,1,"ハロウィンミヤコ","",106,"2020/10/26 11:00:00","2020/11/19 14:59:59",-285.0,8.0,1.13,2,10007
53003,53,190801,1,"花凛","完成任务后，\n可以获取报酬哦！\n请加油吧！",1,"2020/10/26 11:00:00","2020/11/19 14:59:59",-416.5,0.0,3.414,2,0
53004,53,190801,1,"花凛","努力完成任务，\n然后领取报酬吧！",2,"2020/10/26 11:00:00","2020/11/19 14:59:59",-416.5,0.0,3.099,2,0
54003,54,190801,1,"花凛","好像有可以领取的报酬\n当前尚未领取\n快确认看看吧！",3,"2020/10/26 11:00:00","2020/11/19 14:59:59",-416.5,0.0,2.801,2,0
54004,54,190801,2,"花凛","有报酬可以领取！\n快确认看看吧",4,"2020/10/26 11:00:00","2020/11/19 14:59:59",-416.5,0.0,0.0,2,0
55003,55,190801,1,"花凛","这里是公会管理协会！\n如果持有讨伐证，\n可以用来交换报酬哦",1,"2020/10/26 11:00:00","2020/11/19 14:59:59",-363.0,0.0,5.506,2,0
55004,55,190801,2,"花凛","辛苦了！\n在这里，可以使用讨伐证\n来交换报酬哦！",2,"2020/10/26 11:00:00","2020/11/19 14:59:59",-363.0,0.0,1.216,1,0
56003,56,190801,2,"花凛","辛苦了\n请不要忘记，\n用讨伐证交换报酬哦！",3,"2020/10/26 11:00:00","2020/11/19 14:59:59",-363.0,0.0,1.539,1,0
56004,56,190801,2,"花凛","终于结束了\n讨伐证是努力的证明！\n去交换报酬吧！",4,"2020/10/26 11:00:00","2020/11/19 14:59:59",-363.0,0.0,1.875,1,0
57003,57,190801,1,"花凛","参与活动辛苦了！\n感谢各位一直以来的\n活跃表现！",5,"2020/10/26 11:00:00","2020/11/19 14:59:59",-416.5,0.0,0.0,1,0
