id,fke_point,mission_detail,reward_type_1,reward_id_1,reward_count_1,reward_type_2,reward_id_2,reward_count_2,reward_type_3,reward_id_3,reward_count_3,reward_type_4,reward_id_4,reward_count_4,reward_type_5,reward_id_5,reward_count_5
1,2000,"在空花大回旋中飞行合计2000m",12,94002,5000,0,0,0,0,0,0,0,0,0,0,0,0
2,4000,"在空花大回旋中飞行合计4000m",12,94002,10000,0,0,0,0,0,0,0,0,0,0,0,0
3,6000,"在空花大回旋转中飞行合计6000m",12,94002,15000,0,0,0,0,0,0,0,0,0,0,0,0
4,8000,"在空花大回旋中飞行合计8000m",12,94002,20000,0,0,0,0,0,0,0,0,0,0,0,0
5,10000,"在空花大回旋中飞行合计10000m",8,91002,50,2,23001,5,0,0,0,0,0,0,0,0,0
6,12000,"在空花大回旋中飞行合计12000m",12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
7,14000,"在空花大回旋中飞行合计14000m",12,94002,30000,0,0,0,0,0,0,0,0,0,0,0,0
8,16000,"在空花大回旋中飞行合计16000m",12,94002,35000,0,0,0,0,0,0,0,0,0,0,0,0
9,18000,"在空花大回旋中飞行合计18000m",12,94002,40000,0,0,0,0,0,0,0,0,0,0,0,0
10,20000,"在空花大回旋中飞行合计20000m",8,91002,50,2,23001,5,0,0,0,0,0,0,0,0,0
11,22000,"在空花大回旋中飞行合计22000m",12,94002,55000,0,0,0,0,0,0,0,0,0,0,0,0
12,24000,"在空花大回旋中飞行合计24000m",12,94002,35000,0,0,0,0,0,0,0,0,0,0,0,0
13,26000,"在空花大回旋中飞行合计26000m",12,94002,40000,0,0,0,0,0,0,0,0,0,0,0,0
14,28000,"在空花大回旋中飞行合计28000m",12,94002,45000,0,0,0,0,0,0,0,0,0,0,0,0
15,30000,"在空花大回旋中飞行合计30000m",7,1405,1,8,91002,150,2,23001,10,0,0,0,0,0,0
