gacha_id,gacha_name,description,gacha_detail,gacha_cost_type,price,free_gacha_type,free_gacha_interval_time,free_gacha_count,discount_price,gacha_odds,gacha_odds_star2,gacha_type,movie_id,start_time,end_time,ticket_id,special_id,exchange_id,ticket_id_10,rarity_odds,chara_odds_star1,chara_odds_star2,chara_odds_star3
10001,"普通扭蛋","获取道具或者记忆碎片！",1,3,0,1,0,10,0,10001,"",0,0,"2020/01/01 0:00:00","2020/04/23 12:59:59",0,0,0,0,0,0,0,0
10002,"普通扭蛋","获取道具或者记忆碎片！",1,3,0,1,0,10,0,10002,"",0,0,"2020/04/23 13:00:00","2020/05/07 12:59:59",0,0,0,0,0,0,0,0
10003,"普通扭蛋","获取道具或者记忆碎片！",1,3,0,1,0,10,0,10003,"",0,0,"2020/05/07 13:00:00","2020/05/15 10:59:59",0,0,0,0,0,0,0,0
10004,"普通扭蛋","获取道具或者记忆碎片！",1,3,0,1,0,10,0,10004,"",0,0,"2020/05/15 11:00:00","2020/05/28 10:59:59",0,0,0,0,0,0,0,0
10005,"普通扭蛋","获取道具或者记忆碎片！",1,3,0,1,0,10,0,10005,"",0,0,"2020/05/28 11:00:00","2020/06/08 10:59:59",0,0,0,0,0,0,0,0
10006,"普通扭蛋","获取道具或者记忆碎片！",1,3,0,1,0,10,0,10006,"",0,0,"2020/06/08 11:00:00","2020/06/23 10:59:59",0,0,0,0,0,0,0,0
10007,"普通扭蛋","获取道具或者记忆碎片！",1,3,0,1,0,10,0,10007,"",0,0,"2020/06/23 11:00:00","2020/07/06 10:59:59",0,0,0,0,0,0,0,0
10008,"普通扭蛋","获取道具或者记忆碎片！",1,3,0,1,0,10,0,10008,"",0,0,"2020/07/06 11:00:00","2020/07/20 10:59:59",0,0,0,0,0,0,0,0
10009,"普通扭蛋","获取道具或者记忆碎片！",1,3,0,1,0,10,0,10009,"",0,0,"2020/07/20 11:00:00","2020/08/03 10:59:59",0,0,0,0,0,0,0,0
10010,"普通扭蛋","获取道具或者记忆碎片！",1,3,0,1,0,10,0,10010,"",0,0,"2020/08/03 11:00:00","2020/08/18 10:59:59",0,0,0,0,0,0,0,0
10011,"普通扭蛋","获取道具或者记忆碎片！",1,3,0,1,0,10,0,10011,"",0,0,"2020/08/18 11:00:00","2020/08/30 10:59:59",0,0,0,0,0,0,0,0
10012,"普通扭蛋","获取道具或者记忆碎片！",1,3,0,1,0,10,0,10012,"",0,0,"2020/08/30 11:00:00","2020/09/15 10:59:59",0,0,0,0,0,0,0,0
10013,"普通扭蛋","获取道具或者记忆碎片！",1,3,0,1,0,10,0,10013,"",0,0,"2020/09/15 11:00:00","2020/09/28 08:59:59",0,0,0,0,0,0,0,0
10014,"普通扭蛋","获取道具或者记忆碎片！",1,3,0,1,0,10,0,10014,"",0,0,"2020/09/28 09:00:00","2020/10/09 10:59:59",0,0,0,0,0,0,0,0
10015,"普通扭蛋","获取道具或者记忆碎片！",1,3,0,1,0,10,0,10015,"",0,0,"2020/10/09 11:00:00","2099/12/31 23:59:59",0,0,0,0,0,0,0,0
