id,discription,type_1,type_2,type_3,type_4
2001,"「{0}」第{1}天获得的道具。",1,2,0,0
2002,"在「{0}」获得的道具。",3,0,0,0
2003,"在「{0}」获得的道具。",4,0,0,0
2004,"战斗竞技场第{0}名的排名报酬。",5,0,0,0
2005,"公主竞技场第{0}名的排名报酬。",6,0,0,0
2006,"{0}月团队战{1}周期赛排位第{2}名的报酬。",10,11,7,0
2007,"{0}月团队战月排位第{1}名的报酬。",10,8,0,0
2008,"在{0}获得的报酬。",9,0,0,0
2009,"{0}月团队战排位第{2}名的报酬。",10,11,7,0
2010,"「{0}」{1}天的补偿道具。",1,2,0,0
2011,"「{0}」第{1}天在「{2}」获得的道具。",1,2,16,0
2012,"「{0}」第{1}天获得的道具。",17,2,0,0
2013,"在「{0}」获得的道具。",1,0,0,0
3001,"解锁公会之家2楼获得的道具。",0,0,0,0
3002,"解锁公会之家3楼获得的道具。",0,0,0,0
9101,"来自运营的致歉补偿。",0,0,0,0
9102,"来自运营的补偿。",0,0,0,0
9103,"请在挑战次数小于4次时领取。",0,0,0,0
9201,"协助维护的谢礼。",0,0,0,0
9202,"更新版本的谢礼。",0,0,0,0
9203,"来自运营的礼物。",0,0,0,0
9204,"「游戏预约」达到20万人的奖励。",0,0,0,0
9205,"「游戏预约」达到28万人的奖励。",0,0,0,0
9206,"「游戏预约」达到30万人的奖励。",0,0,0,0
9208,"LinksMate的游戏联动特典。",0,0,0,0
9209,"使用LinksMate的特典。",0,0,0,0
9210,"LinksMate的星级礼物。",0,0,0,0
9211,"「DMM版游戏预约」达到10万人的礼物。",0,0,0,0
9212,"广播1周年纪念直播内环节的特别礼物。",0,0,0,0
9213,"来自运营的公会之家道具礼物。",0,0,0,0
9214,"「官方直播　2018　秋」环节的特别礼物。",0,0,0,0
9215,"月神之塔更新附赠的礼物。",0,0,0,0
9216,"任务报酬变更附赠的礼物。",0,0,0,0
9301,"超出持有数上限时获得的体力。",0,0,0,0
9302,"战斗竞技场的防守奖励。",0,0,0,0
9303,"公主竞技场的防守奖励。",0,0,0,0
9304,"行会助战获得的奖励。",0,0,0,0
9305,"提升RANK前在强化装备中使用的一部分道具。",0,0,0,0
9306,"玩家经验值变换后获得的玛那。",0,0,0,0
9307,"在团队战的讨伐奖励中获得的道具。",0,0,0,0
9308,"向行会成员问好后获得的玛那。",0,0,0,0
9309,"超过持有上限后获得的战斗竞技场的时间奖励。",0,0,0,0
9310,"超过持有上限后获得的战斗竞技场奖励。",0,0,0,0
9311,"超过持有上限后获得的公主竞技场的时间奖励。",0,0,0,0
9312,"超过持有上限后获得的公主竞技场奖励。",0,0,0,0
9313,"超出持有数上限后获得的角色交换报酬。",0,0,0,0
9314,"扭蛋更新后，未使用的角色交换pt转换为的道具。",0,0,0,0
9401,"每日宝石礼包中的道具。",0,0,0,0
9501,"「活动登录奖励」第{1}天获得的道具。",13,2,0,0
9502,"初次通关活动关卡获得的道具。",13,0,0,0
9503,"通关活动关卡{1}获得的道具。",13,14,0,0
9504,"初次击败活动BOSS「{1}」获得的道具。",13,15,0,0
9505,"在活动BOSS「{1}」的战斗中获得的物品。",13,15,0,0
9506,"达成活动任务获得的道具。",13,0,0,0
9507,"在「{1}」获得的道具。",13,12,0,0
9508,"在「{0}」获得的道具。",13,0,0,0
9509,"解谜获得的道具。",0,0,0,0
9600,"小游戏获得的道具。",0,0,0,0
9700,"「机器莉玛来袭！」获得的排名报酬。",0,0,0,0
9701,"「机器莉玛来袭！」获得的攻击报酬。",0,0,0,0
88888,"购买「{0}」获得的道具",88,0,0,0
