id,buy_count,use_jewel_count,get_gold_count,goldset_odds_1,goldset_odds_2,goldset_odds_3,additional_gold_min_rate,additional_gold_max_rate,get_stamina_count
1,1,10,12000,90001,0,90043,10000,30000,0
2,2,20,24000,90002,0,90047,10000,30000,0
3,3,20,24000,90002,0,90047,10000,30000,0
4,4,20,24000,90002,0,90047,10000,30000,0
5,5,20,24000,90002,0,90047,10000,30000,0
6,6,20,24000,90002,0,90047,10000,30000,0
7,7,20,24000,90002,0,90047,10000,30000,0
8,8,20,24000,90002,0,90047,10000,30000,0
9,9,20,24000,90002,0,90047,10000,30000,0
10,10,20,24000,90002,0,90047,10000,30000,0
11,11,40,48000,90003,90011,90051,10000,30000,0
12,12,40,48000,90003,90011,90051,10000,30000,0
13,13,40,48000,90003,90011,90051,10000,30000,0
14,14,40,48000,90003,90011,90051,10000,30000,0
15,15,40,48000,90003,90011,90051,10000,30000,0
16,16,40,48000,90003,90011,90051,10000,30000,0
17,17,40,48000,90003,90011,90051,10000,30000,0
18,18,40,48000,90003,90011,90051,10000,30000,0
19,19,40,48000,90003,90011,90051,10000,30000,0
20,20,40,48000,90003,90011,90051,10000,30000,0
21,21,60,72000,90004,90015,90055,10000,30000,0
22,22,60,72000,90004,90015,90055,10000,30000,0
23,23,60,72000,90004,90015,90055,10000,30000,0
24,24,60,72000,90004,90015,90055,10000,30000,0
25,25,60,72000,90004,90015,90055,10000,30000,0
26,26,60,72000,90004,90015,90055,10000,30000,0
27,27,60,72000,90004,90015,90055,10000,30000,0
28,28,60,72000,90004,90015,90055,10000,30000,0
29,29,60,72000,90004,90015,90055,10000,30000,0
30,30,60,72000,90004,90015,90055,10000,30000,0
31,31,80,96000,90005,90015,90059,10000,30000,0
32,32,80,96000,90005,90015,90059,10000,30000,0
33,33,80,96000,90005,90015,90059,10000,30000,0
34,34,80,96000,90005,90015,90059,10000,30000,0
35,35,80,96000,90005,90015,90059,10000,30000,0
36,36,80,96000,90005,90015,90059,10000,30000,0
37,37,80,96000,90005,90015,90059,10000,30000,0
38,38,80,96000,90005,90015,90059,10000,30000,0
39,39,80,96000,90005,90015,90059,10000,30000,0
40,40,80,96000,90005,90015,90059,10000,30000,0
41,41,120,144000,90005,90017,90063,10000,30000,0
42,42,120,144000,90005,90017,90063,10000,30000,0
43,43,120,144000,90005,90017,90063,10000,30000,0
44,44,120,144000,90005,90017,90063,10000,30000,0
45,45,120,144000,90005,90017,90063,10000,30000,0
46,46,120,144000,90005,90017,90063,10000,30000,0
47,47,120,144000,90005,90017,90063,10000,30000,0
48,48,120,144000,90005,90017,90063,10000,30000,0
49,49,120,144000,90005,90017,90063,10000,30000,0
50,50,120,144000,90005,90017,90063,10000,30000,0
51,51,150,180000,90006,90019,90067,10000,30000,0
52,52,150,180000,90006,90019,90067,10000,30000,0
53,53,150,180000,90006,90019,90067,10000,30000,0
54,54,150,180000,90006,90019,90067,10000,30000,0
55,55,150,180000,90006,90019,90067,10000,30000,0
56,56,150,180000,90006,90019,90067,10000,30000,0
57,57,150,180000,90006,90019,90067,10000,30000,0
58,58,150,180000,90006,90019,90067,10000,30000,0
59,59,150,180000,90006,90019,90067,10000,30000,0
60,60,150,180000,90006,90019,90067,10000,30000,0
61,61,180,216000,90007,90021,90071,10000,30000,0
62,62,180,216000,90007,90021,90071,10000,30000,0
63,63,180,216000,90007,90021,90071,10000,30000,0
64,64,180,216000,90007,90021,90071,10000,30000,0
65,65,180,216000,90007,90021,90071,10000,30000,0
66,66,180,216000,90007,90021,90071,10000,30000,0
67,67,180,216000,90007,90021,90071,10000,30000,0
68,68,180,216000,90007,90021,90071,10000,30000,0
69,69,180,216000,90007,90021,90071,10000,30000,0
70,70,180,216000,90007,90021,90071,10000,30000,0
