growth_id,growth_type,is_restriction,unit_rarity,unit_level,skill_level,promotion_level,equipment_1,equipment_2,equipment_3,equipment_4,equipment_5,equipment_6,love_level
1,1,1,0,180,180,19,-1,-1,-1,-1,-1,-1,0
2,1,1,0,180,180,19,-1,-1,-1,-1,-1,-1,0
3,1,1,0,180,180,19,-1,-1,-1,-1,-1,-1,0
4,1,0,0,180,180,19,-1,-1,-1,-1,-1,-1,0
5,1,1,0,180,180,19,-1,-1,-1,-1,-1,-1,0
6,1,1,0,180,180,19,-1,-1,-1,-1,-1,-1,0
7,1,1,0,180,180,19,-1,-1,-1,-1,-1,-1,0
8,1,1,0,180,180,19,-1,-1,-1,-1,-1,-1,0
9,1,1,0,215,215,23,-1,-1,-1,-1,-1,-1,0
10,1,1,0,215,215,23,-1,-1,-1,-1,-1,-1,0
11,1,0,0,215,215,23,-1,-1,-1,-1,-1,-1,0
12,1,1,0,215,215,23,-1,-1,-1,-1,-1,-1,0
13,1,1,0,215,215,23,-1,-1,-1,-1,-1,-1,0
