id,area_id,condition_type,condition_id,target_type,bg_after_change_id
1,10009101,1,10009106,1,0
2,10009101,1,10009112,1,0
3,10010101,1,10010110,1,0
4,10019101,2,1001901,1,0
5,10021101,1,10021112,1,0
6,10025101,1,10025109,1,0
7,10025,3,5025001,2,500810
8,10030101,1,10030106,1,0
9,10030101,1,10030112,1,0
10,10032101,1,10032110,1,0
11,20009101,1,20009106,1,0
12,20009101,1,20009112,1,0
13,20010101,1,20010110,1,0
14,10042,3,5042001,2,501001
15,10043101,2,1004301,1,0
16,10044,3,5044001,2,501031
17,10045101,1,10045112,1,0
18,10046,3,5046002,2,501103
19,10049101,1,10049109,1,0
20,10066101,1,10066112,1,0
21,10066,3,5066005,2,501291
