boss_id,event_id,condition_quest_id_1,condition_quest_id_2,condition_boss_id_1,condition_boss_id_2,condition_gacha_step,force_unlock_time,release_quest_id_1,release_quest_id_2,release_boss_id_1,release_boss_id_2
1000101,10001,10001115,0,0,0,0,"2020/05/20 11:00:00",10001201,0,1000102,0
1000102,10001,0,0,1000101,0,0,0,0,0,0,0
1000201,10002,10002115,0,0,0,0,"2020/06/17 11:00:00",10002201,0,1000202,0
1000202,10002,0,0,1000201,0,0,0,0,0,0,0
1000301,10003,10003115,0,0,0,0,"2020/07/15 11:00:00",10003201,0,1000302,0
1000302,10003,0,0,1000301,0,0,0,0,0,0,0
1000401,10004,10004115,0,0,0,0,"2020/08/12 11:00:00",10004201,0,1000402,0
1000402,10004,0,0,1000401,0,0,0,0,0,1000403,0
1000403,10004,0,0,1000402,0,0,0,0,0,0,0
1000501,10005,10005115,0,0,0,0,"2020/09/08 11:00:00",10005201,0,1000502,0
1000502,10005,0,0,1000501,0,0,0,0,0,1000503,0
1000503,10005,0,0,1000502,0,0,0,0,0,0,0
