boss_id,enemy_identify,event_id,must_kill_flag,event_boss_treasure_box_id,reward_gold_coefficient,reward_gold_limit,detail_offset_x,detail_offset_y,detail_scale,map_offset_x,map_offset_y,map_scale,map_depth
1005001,2,10050,0,0,0.0,100000,0,0,1.5,30,-30,1.7,10
1005001,1,10050,1,10050101,0.03,100000,0,-40,1.5,-17,25,1.7,0
1005001,3,10050,0,0,0.0,100000,0,-23,1.5,-32,-47,1.7,10
1005002,2,10050,0,0,0.0,100000,0,0,1.5,30,-30,1.7,10
1005002,1,10050,1,10050201,0.03,100000,0,-40,1.5,-17,25,1.7,0
1005002,3,10050,0,0,0.0,100000,0,-23,1.5,-32,-47,1.7,10
1005003,2,10050,0,0,0.0,100000,0,0,1.5,30,-30,1.7,10
1005003,1,10050,1,10050301,0.03,100000,0,-40,1.5,-17,25,1.7,0
1005003,3,10050,0,0,0.0,100000,0,-23,1.5,-32,-47,1.7,10
1005004,2,10050,0,0,0.0,100000,0,0,1.5,30,-30,1.7,10
1005004,1,10050,1,10050401,0.03,100000,0,-40,1.5,-17,25,1.7,0
1005004,3,10050,0,0,0.0,100000,0,-23,1.5,-32,-47,1.7,10
1005005,2,10050,0,0,0.0,100000,0,0,1.5,30,-30,1.7,10
1005005,1,10050,1,0,0.03,100000,0,-40,1.5,-17,25,1.7,0
1005005,3,10050,0,0,0.0,100000,0,-23,1.5,-32,-47,1.7,10
1007701,2,10077,0,0,0.0,100000,0,0,1.5,30,-30,1.7,10
1007701,1,10077,1,10077101,0.03,100000,0,-40,1.5,-17,25,1.7,0
1007701,3,10077,0,0,0.0,100000,0,-23,1.5,-32,-47,1.7,10
1007702,2,10077,0,0,0.0,100000,0,0,1.5,30,-30,1.7,10
1007702,1,10077,1,10077201,0.03,100000,0,-40,1.5,-17,25,1.7,0
1007702,3,10077,0,0,0.0,100000,0,-23,1.5,-32,-47,1.7,10
1007703,2,10077,0,0,0.0,100000,0,0,1.5,30,-30,1.7,10
1007703,1,10077,1,10077301,0.03,100000,0,-40,1.5,-17,25,1.7,0
1007703,3,10077,0,0,0.0,100000,0,-23,1.5,-32,-47,1.7,10
1007704,2,10077,0,0,0.0,100000,0,0,1.5,30,-30,1.7,10
1007704,1,10077,1,10077401,0.03,100000,0,-40,1.5,-17,25,1.7,0
1007704,3,10077,0,0,0.0,100000,0,-23,1.5,-32,-47,1.7,10
1007705,2,10077,0,0,0.0,100000,0,0,1.5,30,-30,1.7,10
1007705,1,10077,1,0,0.03,100000,0,-40,1.5,-17,25,1.7,0
1007705,3,10077,0,0,0.0,100000,0,-23,1.5,-32,-47,1.7,10
1008801,1,10088,1,10088101,0.03,100000,0,-50,0.92,-13,-25,0.84,10
1008801,2,10088,0,0,0.0,100000,0,-50,0.8,13,-25,0.7,0
1008802,1,10088,1,10088201,0.03,100000,0,-50,0.92,-13,-25,0.84,10
1008802,2,10088,0,0,0.0,100000,0,-50,0.8,13,-25,0.7,0
1008803,1,10088,1,10088301,0.03,100000,0,-50,0.92,-13,-25,0.84,10
1008803,2,10088,0,0,0.0,100000,0,-50,0.8,13,-25,0.7,0
1008804,1,10088,1,10088401,0.03,100000,0,-50,0.92,-17,-30,0.7,10
1008804,2,10088,0,0,0.0,100000,0,-50,0.8,30,-30,0.6,0
1008805,1,10088,1,0,0.03,100000,0,-50,0.92,-17,-30,0.7,10
1008805,2,10088,0,0,0.0,100000,0,-50,0.8,30,-30,0.6,0
