daily_mission_id,disp_group,category_icon,description,mission_condition,condition_value_1,condition_value_2,condition_value_3,condition_num,mission_reward_id,system_id,event_id,start_time,end_time
61001001,101,601,"挑战基兹1次（普通、困难共通） ",9012,0,0,0,1,61001001,6008,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
61001002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61001002,6004,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
61002001,101,601,"挑战阿尔玛1次（普通、困难共通） ",9012,0,0,0,1,61002001,6008,10002,"2020/06/08 11:00:00","2020/07/02 14:59:59"
61002002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61002002,6004,10002,"2020/06/08 11:00:00","2020/07/02 14:59:59"
61003001,101,601,"挑战1次卡尔古（普通、困难共通） ",9012,0,0,0,1,61003001,6008,10003,"2020/07/06 11:00:00","2020/07/30 14:59:59"
61003002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61003002,6004,10003,"2020/07/06 11:00:00","2020/07/30 14:59:59"
61004001,101,601,"挑战1次腾特帕斯（全难易度共通） ",9012,0,0,0,1,61004001,6008,10004,"2020/08/03 11:00:00","2020/08/27 14:59:59"
61004002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61004002,6004,10004,"2020/08/03 11:00:00","2020/08/27 14:59:59"
61005001,101,601,"挑战1次岛鲸吧（全难度共通） ",9012,0,0,0,1,61005001,6008,10005,"2020/08/30 11:00:00","2020/09/24 14:59:59"
61005002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61005002,6004,10005,"2020/08/30 11:00:00","2020/09/24 14:59:59"
61006001,101,601,"挑战1次生灵铠甲吧（全难度共通） ",9012,0,0,0,1,61006001,6008,10006,"2020/09/28 9:00:00","2020/10/22 14:59:59"
61006002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61006002,6004,10006,"2020/09/28 9:00:00","2020/10/22 14:59:59"
61007001,101,601,"挑战1次布丁南瓜灯吧（全难度共通） ",9012,0,0,0,1,61007001,6008,10007,"2020/10/26 11:00:00","2020/11/19 14:59:59"
61007002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61007002,6004,10007,"2020/10/26 11:00:00","2020/11/19 14:59:59"
61008001,101,601,"挑战1次奥拉姆吧（全难度共通） ",9012,0,0,0,1,61008001,6008,10008,"2020/11/23 11:00:00","2020/12/17 14:59:59"
61008002,102,601,"通关10次活动关卡吧",9004,0,0,0,10,61008002,6004,10008,"2020/11/23 11:00:00","2020/12/17 14:59:59"
