id,event_id,type,description
1,10001,1,"在活动中，可以观看特别的故事。\n活动剧情会根据活动关卡的通关进度解锁。"
2,10001,1,"随着活动关卡通关，会有BOSS登场。\n使用BOSS券就可以挑战BOSS。\n击败BOSS就可以获得大量讨伐证，请尽情挑战吧。"
3,10001,1,"讨伐证可以用来兑换报酬。\n报酬也包括在活动中登场的部分角色的记忆碎片。\n收集记忆碎片将角色变为自己的同伴吧。"
4,10002,1,"在活动中，可以观看特别的故事。\n活动剧情会根据活动关卡的通关进度解锁。"
5,10002,1,"随着活动关卡通关，会有BOSS登场。\n使用BOSS券就可以挑战BOSS。\n击败BOSS就可以获得大量讨伐证，请尽情挑战吧。"
6,10002,1,"讨伐证可以用来兑换报酬。\n报酬也包括在活动中登场的部分角色的记忆碎片。\n收集记忆碎片将角色变为自己的同伴吧。"
7,10003,1,"在活动中，可以观看特别的故事。\n活动剧情会根据活动关卡的通关进度解锁。"
8,10003,1,"随着活动关卡通关，会有BOSS登场。\n使用BOSS券就可以挑战BOSS。\n击败BOSS就可以获得大量讨伐证，请尽情挑战吧。"
9,10003,1,"讨伐证可以用来兑换报酬。\n报酬也包括在活动中登场的部分角色的记忆碎片。\n收集记忆碎片将角色变为自己的同伴吧。"
10,10004,1,"在活动中，可以观看特别的故事。\n活动剧情会根据活动关卡的通关进度解锁。"
11,10004,1,"完成活动限定的任务后，会有\n解锁角色登场。请在活动期间\n努力完成任务吧。"
12,10004,1,"强力的BOSS（高难）会登场。\n高难度的BOSS1天可以讨伐1只。\n做好充分的准备，认真迎接挑战吧。"
13,10004,1,"讨伐证可以用来兑换报酬。\n报酬也包括在活动中登场的部分角色的记忆碎片。\n收集记忆碎片将角色变为自己的同伴吧。"
14,10005,1,"在活动中，可以观看特别的故事。\n活动剧情会根据活动关卡的通关进度解锁。"
15,10005,1,"完成活动限定的任务后，会有\n解锁角色登场。请在活动期间\n努力完成任务吧。"
16,10005,1,"在高难难度中，会有强力的精英怪出现。\n高难难度精英怪1天可以讨伐1只。\n请做好充足的准备，全神贯注迎接挑战吧。"
17,10005,1,"讨伐证可以用来兑换报酬。\n报酬也包括在活动中登场的部分角色的记忆碎片。\n收集记忆碎片将角色变为自己的同伴吧。"
18,10006,1,"在活动中，可以观看特别的故事。\n活动剧情会根据活动关卡的通关进度解锁。"
