event_id,teaser_time,start_time,end_time,close_time,background,sheet_id,que_id,banner_unit_id,count_start_time,backgroud_size_x,backgroud_size_y,backgroud_pos_x,backgroud_pos_y,original_event_id
10001,"2020/05/11 13:00:00","2020/05/15 11:00:00","2020/05/26 18:59:59","2020/05/28 10:59:59",500213,bgm_M32,bgm_M32,101201,"2020/05/23 19:00:00",1768,1060,60,50,0
10002,"2020/06/03 15:00:00","2020/06/08 11:00:00","2020/06/27 23:59:59","2020/07/02 14:59:59",500193,bgm_M98,bgm_M98,103601,"2020/06/24 19:00:00",1768,1060,60,50,0
10003,"2020/07/02 15:00:00","2020/07/06 11:00:00","2020/07/25 23:59:59","2020/07/30 14:59:59",500263,bgm_M106,bgm_M106,104401,"2020/07/22 19:00:00",1768,1060,60,50,0
10004,"2020/07/30 15:00:00","2020/08/03 11:00:00","2020/08/22 23:59:59","2020/08/27 14:59:59",500164,bgm_M112,bgm_M112,107601,"2020/08/19 19:00:00",1768,1060,60,50,0
10005,"2020/08/27 15:00:00","2020/08/30 11:00:00","2020/09/19 23:59:59","2020/09/24 14:59:59",500284,bgm_M121,bgm_M121,907901,"2020/09/16 19:00:00",1768,1060,60,50,0
10006,"2020/09/24 15:00:00","2020/09/28 9:00:00","2020/10/17 23:59:59","2020/10/22 14:59:59",500096,bgm_M128,bgm_M128,104701,"2020/10/14 19:00:00",1768,1060,60,50,0
10007,"2020/10/22 15:00:00","2020/10/26 11:00:00","2020/11/14 23:59:59","2020/11/19 14:59:59",500264,bgm_M135,bgm_M135,108201,"2020/11/11 19:00:00",1768,1060,60,50,0
10008,"2020/11/19 15:00:00","2020/11/23 11:00:00","2020/12/07 23:59:59","2020/12/17 14:59:59",500143,bgm_M162,bgm_M162,100901,"2020/12/04 19:00:00",1768,1060,60,50,0
10009,"2020/12/17 15:00:00","2020/12/20 11:00:00","2021/01/03 23:59:59","2021/01/14 14:59:59",500114,bgm_M171,bgm_M171,108501,"2020/12/31 19:00:00",1768,1060,60,50,0
10010,"2021/01/14 15:00:00","2021/01/18 9:00:00","2021/02/01 23:59:59","2021/02/11 14:59:59",500553,bgm_M182,bgm_M182,108901,"2021/01/29 19:00:00",1768,1060,60,50,0
10011,"2021/02/11 15:00:00","2021/02/14 11:00:00","2021/02/28 23:59:59","2021/03/11 14:59:59",500600,bgm_M189,bgm_M189,109001,"2021/02/25 19:00:00",1768,1060,60,50,0
