stationary_mission_id,disp_group,category_icon,description,mission_condition,condition_value_1,condition_value_2,condition_value_3,condition_num,mission_reward_id,system_id,event_id,start_time,end_time
71001001,102,601,"通关活动关卡1-1 (普通)",9003,10001101,0,0,1,71001001,6004,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001002,102,601,"通关活动关卡1-2 (普通)",9003,10001102,0,0,1,71001002,6004,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001003,102,601,"通关活动关卡1-3 (普通)",9003,10001103,0,0,1,71001003,6004,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001004,102,601,"通关活动关卡1-4 (普通)",9003,10001104,0,0,1,71001004,6004,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001005,102,601,"通关活动关卡1-5 (普通)",9003,10001105,0,0,1,71001005,6004,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001006,102,601,"通关活动关卡1-6 (普通)",9003,10001106,0,0,1,71001006,6004,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001007,102,601,"通关活动关卡1-7 (普通)",9003,10001107,0,0,1,71001007,6004,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001008,102,601,"通关活动关卡1-8 (普通)",9003,10001108,0,0,1,71001008,6004,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001009,102,601,"通关活动关卡1-9 (普通)",9003,10001109,0,0,1,71001009,6004,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001010,102,601,"通关活动关卡1-10 (普通)",9003,10001110,0,0,1,71001010,6004,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001011,102,601,"通关活动关卡1-11 (普通)",9003,10001111,0,0,1,71001011,6004,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001012,102,601,"通关活动关卡1-12 (普通)",9003,10001112,0,0,1,71001012,6004,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001013,102,601,"通关活动关卡1-13 (普通)",9003,10001113,0,0,1,71001013,6004,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001014,102,601,"通关活动关卡1-14 (普通)",9003,10001114,0,0,1,71001014,6004,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001015,102,601,"通关活动关卡1-15 (普通)",9003,10001115,0,0,1,71001015,6004,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001016,103,601,"通关活动关卡1-1 (困难)",9003,10001201,0,0,1,71001016,6005,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001017,103,601,"通关活动关卡1-2 (困难)",9003,10001202,0,0,1,71001017,6005,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001018,103,601,"通关活动关卡1-3 (困难)",9003,10001203,0,0,1,71001018,6005,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001019,103,601,"通关活动关卡1-4 (困难)",9003,10001204,0,0,1,71001019,6005,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001020,103,601,"通关活动关卡1-5 (困难)",9003,10001205,0,0,1,71001020,6005,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001021,104,601,"重置1次讨伐证交换的报酬列表",9006,0,0,0,1,71001021,6002,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001022,104,601,"重置2次讨伐证交换的报酬列表",9006,0,0,0,2,71001022,6002,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001023,104,601,"重置3次讨伐证交换的报酬列表",9006,0,0,0,3,71001023,6002,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001024,104,601,"重置4次讨伐证交换的报酬列表",9006,0,0,0,4,71001024,6002,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001025,105,601,"打倒5只基兹（普通、困难共通）",9011,0,0,0,5,71001025,6008,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001026,105,601,"打倒10只基兹（普通、困难共通）",9011,0,0,0,10,71001026,6008,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001027,105,601,"打倒15只基兹（普通、困难共通）",9011,0,0,0,15,71001027,6008,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001028,105,601,"打倒20只基兹（普通、困难共通）",9011,0,0,0,20,71001028,6008,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001029,105,601,"打倒25只基兹（普通、困难共通）",9011,0,0,0,25,71001029,6008,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71001030,105,601,"打倒30只基兹（普通、困难共通）",9011,0,0,0,30,71001030,6008,10001,"2020/05/15 11:00:00","2020/05/28 10:59:59"
71002001,102,601,"通关活动关卡1-1 (普通)",9003,10002101,0,0,1,71002001,6004,10002,"2020/06/08 11:00:00","2020/07/02 14:59:59"
71002002,102,601,"通关活动关卡1-2 (普通)",9003,10002102,0,0,1,71002002,6004,10002,"2020/06/08 11:00:00","2020/07/02 14:59:59"
71002003,102,601,"通关活动关卡1-3 (普通)",9003,10002103,0,0,1,71002003,6004,10002,"2020/06/08 11:00:00","2020/07/02 14:59:59"
71002004,102,601,"通关活动关卡1-4 (普通)",9003,10002104,0,0,1,71002004,6004,10002,"2020/06/08 11:00:00","2020/07/02 14:59:59"
71002005,102,601,"通关活动关卡1-5 (普通)",9003,10002105,0,0,1,71002005,6004,10002,"2020/06/08 11:00:00","2020/07/02 14:59:59"
71002006,102,601,"通关活动关卡1-6 (普通)",9003,10002106,0,0,1,71002006,6004,10002,"2020/06/08 11:00:00","2020/07/02 14:59:59"
71002007,102,601,"通关活动关卡1-7 (普通)",9003,10002107,0,0,1,71002007,6004,10002,"2020/06/08 11:00:00","2020/07/02 14:59:59"
71002008,102,601,"通关活动关卡1-8 (普通)",9003,10002108,0,0,1,71002008,6004,10002,"2020/06/08 11:00:00","2020/07/02 14:59:59"
71002009,102,601,"通关活动关卡1-9 (普通)",9003,10002109,0,0,1,71002009,6004,10002,"2020/06/08 11:00:00","2020/07/02 14:59:59"
71002010,102,601,"通关活动关卡1-10 (普通)",9003,10002110,0,0,1,71002010,6004,10002,"2020/06/08 11:00:00","2020/07/02 14:59:59"
71002011,102,601,"通关活动关卡1-11 (普通)",9003,10002111,0,0,1,71002011,6004,10002,"2020/06/08 11:00:00","2020/07/02 14:59:59"
