id,unit_id,event_id,condition_mission_id,top_description,description_1,description_2
1,107601,10004,71004025,"通过讨伐首领解锁\n剩余{0}只","[3C404E]推进关卡，挑战首领，\n继续讨伐首领可解锁限定角色！！[-]","[3C404E]通过讨伐首领（全难易度共通）解锁！\n剩余[FFBB00,CE4F00]{0}[-]只[-]"
2,108001,10005,71005025,"通过讨伐首领解锁\n剩余{0}只","[3C404E]推进关卡，挑战首领，\n继续讨伐首领可解锁限定角色！！[-]","[3C404E]通过讨伐首领（全难易度共通）解锁！\n剩余[FFBB00,CE4F00]{0}[-]只[-]"
3,108201,10007,71007031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领，\n讨伐普通难度首领可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
4,108501,10009,71009031,"讨伐普通难度首领进行解锁吧！","[3C405E]推进关卡，挑战首领，\n讨伐普通难度首领可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
5,108901,10010,71010031,"讨伐普通难度首领进行解锁吧！","[3C406E]推进关卡，挑战首领，\n讨伐普通难度首领可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
6,109001,10011,71011031,"讨伐普通难度首领进行解锁吧！","[3C407E]推进关卡，挑战首领，\n讨伐普通难度首领可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
7,109301,10013,71013031,"讨伐普通难度首领进行解锁吧！","[3C408E]推进关卡，挑战首领，\n讨伐普通难度首领可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
8,109801,10017,71017031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
9,110101,10019,71019031,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
10,107601,20004,72004021,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
11,110501,10021,71021035,"讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通难度首领，\n可解锁限定角色！[-]","[3C404E]讨伐普通难度首领进行解锁吧！"
