id,login_bonus_id,start_time,end_time,count_key,adv_id,read_process_flag
1,70000,"2020/12/24 5:00:00","2020/12/25 4:59:59",0,400,0
2,70000,"2020/12/25 5:00:00","2020/12/26 4:59:59",0,401,0
3,70001,0,0,1,410,0
4,70001,0,0,2,411,0
5,70001,0,0,3,412,0
6,70002,"2021/12/24 5:00:00","2021/12/25 4:59:59",0,400,0
7,70002,"2021/12/25 5:00:00","2021/12/26 4:59:59",0,401,0
8,70003,0,0,1,413,0
9,70003,0,0,2,414,0
10,70003,0,0,3,415,0
21,70004,"2022/12/24 5:00:00","2022/12/25 4:59:59",0,400,0
22,70004,"2022/12/25 5:00:00","2022/12/25 4:59:59",0,401,0
23,70005,0,0,1,416,0
24,70005,0,0,2,417,0
25,70005,0,0,3,418,0
26,80004,"2023/04/01 5:00:00","2023/04/02 4:59:59",3,9002001,0
27,80004,"2023/04/02 5:00:00","2023/04/03 4:59:59",3,9002002,0
28,80004,"2023/04/03 5:00:00","2023/04/04 4:59:59",3,9002003,0
29,80004,"2023/04/04 5:00:00","2023/04/05 4:59:59",3,9002004,0
30,80004,"2023/04/05 5:00:00","2023/04/06 4:59:59",3,9002005,0
31,80004,"2023/04/06 5:00:00","2023/04/07 4:59:59",3,9002006,0
32,80004,"2023/04/07 5:00:00","2023/04/08 4:59:59",3,9002007,0
33,80004,"2023/04/08 5:00:00","2023/04/09 4:59:59",3,9002008,0
34,80004,"2023/04/09 5:00:00","2023/04/10 4:59:59",3,9002009,0
35,80004,"2023/04/10 5:00:00","2023/04/11 4:59:59",3,9002010,0
36,80004,"2023/04/11 5:00:00","2023/04/12 4:59:59",3,9002011,0
37,80004,"2023/04/12 5:00:00","2023/04/13 4:59:59",3,9002012,0
38,80004,"2023/04/13 5:00:00","2023/04/14 4:59:59",3,9002013,0
39,80004,"2023/04/14 5:00:00","2023/04/15 4:59:59",3,9002014,0
40,80004,"2023/04/15 5:00:00","2023/04/16 4:59:59",3,9002015,0
41,80004,"2023/04/16 5:00:00","2023/04/17 4:59:59",3,9002016,0
42,80004,"2023/04/17 5:00:00","2023/04/18 4:59:59",3,9002017,1
