id,mission_reward_id,reward_type,reward_id,reward_num,lv_from,lv_to,start_time,end_time
1,18001001,6,93001,100,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
2,18001002,6,93001,100,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
3,11001001,5,0,30,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
4,11001001,12,94002,30000,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
5,11001001,8,91002,10,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
6,11003001,5,0,40,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
7,11003001,2,20002,2,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
8,11003001,8,91002,10,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
9,13002001,5,0,20,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
10,18004001,5,0,20,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
11,16006001,5,0,25,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
12,16007001,5,0,25,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
13,16007001,2,22001,3,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
14,11004001,5,0,30,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
15,11004001,2,20002,2,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
16,11004001,2,90007,500,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
17,11005001,5,0,40,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
18,11005001,12,94002,30000,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
19,11005001,2,90007,500,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
20,11006001,5,0,30,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
21,11006001,2,20003,2,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
22,15004001,5,0,30,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
23,15004001,2,90007,100,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
24,14001001,5,0,40,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
25,14001001,12,94002,80000,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
26,14001001,2,20003,2,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
27,14003001,5,0,50,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
28,14003001,12,94002,140000,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
29,14003001,2,22002,4,1,-1,"2020/01/01 0:00:00","2022/11/22 4:59:59"
30,21001001,8,91002,30,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
31,21001001,12,94002,2000,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
33,21001002,8,91002,30,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
34,21001002,2,22001,2,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
36,21001003,8,91002,30,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
37,21001003,2,22002,1,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
39,21001004,8,91002,30,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
40,21001004,2,22003,1,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
42,21002001,8,91002,60,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
43,21002001,12,94002,4000,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
45,21002002,8,91002,60,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
46,21002002,2,22001,4,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
48,21002003,8,91002,60,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
49,21002003,2,22002,2,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
51,21002004,8,91002,60,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
52,21002004,2,22003,2,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
54,21003001,8,91002,50,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
55,28002001,8,91002,100,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
56,28002001,2,90007,1000,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
57,28002002,8,91002,100,1,-1,"2020/01/01 0:00:00","2099/12/31 23:59:59"
