music_id,list_name,font_size,pre_shop_start,shop_start,shop_end,story_id,cost_item_num,sort,kana,ios_url,android_url,dmm_url
1,"Lost Princess",20.0,"","2020/01/01 0:00:00","",-1,-1,1,"ろすとぷりんせす","","",""
2,"Connecting Happy!!",17.0,"","2020/01/01 0:00:00","",-1,-1,2,"こねくてぃんぐはっぴー","","",""
3,"旅の始まり",20.0,"","2020/01/01 0:00:00","",-1,1000,3,"たびのはじまり","","",""
4,"森を駆ける風",20.0,"","2020/01/01 0:00:00","",-1,1000,4,"もりをかけるかぜ","","",""
5,"メサルティム",20.0,"","2020/01/01 0:00:00","",-1,1000,5,"めさるてぃむ","","",""
6,"ハツネのプレゼント大作戦",20.0,"","2020/01/01 0:00:00","",-1,1000,6,"はつねのぷれぜんとだいさくせん","","",""
7,"ジズ",20.0,"","2020/01/01 0:00:00","",-1,1000,7,"じず","","",""
8,"Smiley Contrast",20.0,"","2020/01/01 0:00:00","",-1,1500,8,"すまいりーこんとらすと","","",""
9,"ミノタウロス",20.0,"","2020/01/01 0:00:00","",-1,1000,9,"みのたうろす","","",""
10,"リトル・リリカル・アドベンチャーズ",20.0,"","2020/01/01 0:00:00","",-1,1000,10,"りとるりりかるあどべんちゃーず","","",""
11,"アルマ",20.0,"","2020/01/01 0:00:00","",-1,1000,11,"あるま","","",""
12,"リトルアドベンチャー",18.0,"","2020/01/01 0:00:00","",-1,1500,12,"りとるあどべんちゃー","","",""
13,"グラットン",20.0,"","2020/11/10 11:00:00","",-1,1000,13,"ぐらっとん","","",""
14,"トリックオアプリン！約束のハロウィンパーティー",20.0,"","2020/11/10 11:00:00","",-1,1000,14,"とりっくおあぷりんやくそくのはろうぃんぱーてぃー","","",""
15,"ジャック・オー・プリン",17.0,"","2020/11/10 11:00:00","",-1,1000,15,"じゃっくおーぷりん","","",""
16,"もっと！ふたりのパ～ティ～ナイト",20.0,"","2020/11/10 11:00:00","",-1,1500,16,"もっとふたりのぱーてぃーないと","","",""
17,"耀う氷の結晶",20.0,"","2020/11/10 11:00:00","",-1,1000,17,"かがようこおりのけっしょう","","",""
18,"Shining Future",20.0,"","2020/01/01 0:00:00","",3010003,1500,18,"しゃいにんぐふゅーちゃー","","",""
19,"風への誓い",20.0,"","2020/01/01 0:00:00","",3010003,1500,19,"かぜへのちかい","","",""
20,"君の笑顔が見たいから",18.0,"","2020/01/01 0:00:00","",3010003,1500,20,"きみのえがおがみたいから","","",""
21,"アマノジャクハート！",18.0,"","2020/01/01 0:00:00","",1054007,1500,21,"あまのじゃくはーと","","",""
22,"不穏な空気と立ち向かう闘志",20.0,"","2020/01/01 0:00:00","",-1,1000,22,"ふおんなくうきとたちむかうとうし","","",""
