command_id,drama_id,command_type,param_01,param_02,param_03,param_04,param_05,param_06,param_07,param_08
101001,101,1,1,111831,115,-100,-150,1.5,0,nop_idle_joy1
101002,101,1,1,120731,114,100,-150,1.5,1,nop_idle_normal_joy
101003,101,1,1,120831,111,-215,-127,1.5,0,nop_idle_arm_crossed
101004,101,1,1,111931,110,215,-127,1.5,1,nop_idle_normal
101005,101,1,1,120931,113,-330,-150,1.5,0,nop_idle_thinking
101006,101,1,1,112031,112,330,-150,1.5,1,nop_idle_normal
102001,102,1,1,108731,115,-100,-150,1.5,0,nop_idle_joy1
102002,102,1,1,108831,114,100,-150,1.5,1,nop_idle_joy_normal
102003,102,1,1,108931,111,-215,-127,1.5,0,nop_idle_normal
103001,103,1,1,102011,113,-100,-135,1.5,0,nop_idle_joy1
103002,103,1,1,100411,115,-215,-150,1.5,0,nop_idle_normal
103003,103,1,1,103631,114,100,-143,1.5,1,nop_idle_wish
104001,104,1,1,101231,115,-100,-150,1.5,0,nop_idle_normal
104002,104,1,1,104011,114,100,-150,1.5,1,nop_idle_normal
104003,104,1,1,101511,111,-215,-127,1.5,0,nop_idle_normal
105001,105,1,1,103111,113,-100,-135,1.5,0,nop_idle_normal
105002,105,1,1,102211,111,100,-135,1.5,1,nop_idle_sad
105003,105,1,1,100711,115,-215,-150,1.5,0,nop_05_miyako_idle_normal
105004,105,1,1,100611,112,215,-150,1.5,1,nop_idle_joy1
105005,105,5,1,2051,114,-25,-135,1.5,1,nop_skull_idle
106001,106,1,1,104731,115,-215,-150,1.5,0,nop_idle_arm_crossed
106002,106,1,1,107131,114,215,-150,1.5,1,nop_idle_arm_crossed
106003,106,1,1,103731,111,-100,-135,1.5,0,nop_idle_normal
106004,106,1,1,100511,110,100,-135,1.5,1,nop_idle_joy1
107001,107,1,1,102831,115,-100,-150,1.5,0,nop_idle_normal
107002,107,1,1,102111,114,100,-150,1.5,1,nop_idle_normal
107003,107,1,1,102511,111,-215,-127,1.5,0,nop_idle_normal
107004,107,1,1,102311,110,215,-127,1.5,1,nop_idle_normal
108001,108,1,1,101011,115,-100,-150,1.5,0,nop_idle_joy_normal
108002,108,1,1,104331,114,100,-150,1.5,1,nop_idle_arm_crossed
108003,108,1,1,101711,111,-215,-127,1.5,0,nop_idle_joy1
108004,108,1,1,101431,110,215,-127,1.5,1,nop_idle_normal
109001,109,1,1,103311,115,-100,-150,1.5,0,nop_idle_joy1
109002,109,1,1,105211,111,-215,-127,1.5,0,nop_idle_joy_normal
109003,109,1,1,102611,114,100,-150,1.5,1,nop_idle_sad2
109004,109,1,1,103811,110,215,-127,1.5,1,nop_idle_normal
110001,110,1,1,103231,115,-100,-150,1.5,0,nop_idle_joy1
110002,110,1,1,103411,110,215,-127,1.5,1,nop_10_yukari_02
110003,110,5,1,11,111,215,-127,1.5,1,nop_10_yukari_02
110004,110,1,1,104811,114,100,-150,1.5,1,nop_idle_doya
110005,110,1,1,104611,111,-215,-127,1.5,0,nop_idle_joy_normal
111001,111,1,1,100911,115,-100,-150,1.5,0,nop_11_anna_idle_arm_crossed
111002,111,1,1,101311,114,100,-150,1.5,1,nop_idle_joy_normal
111003,111,1,1,102711,111,-215,-127,1.5,0,nop_11_eriko_idle_wish
111004,111,1,1,105111,110,215,-127,1.5,1,nop_idle_normal
112001,112,1,1,101831,115,100,-143,1.5,1,nop_idle_joy1
112002,112,1,1,101611,110,-100,-135,1.5,0,nop_idle_joy_normal
112003,112,1,1,105011,114,-215,-150,1.5,0,nop_idle_joy_normal
113001,113,1,1,105331,113,100,-150,1.5,1,nop_idle_normal_joy
113002,113,1,1,104511,114,-100,-150,1.5,0,nop_13_kuka_idle_memory2
113003,113,1,1,103031,110,-215,-127,1.5,0,nop_idle_joy1
113004,113,1,1,100811,111,-330,-150,1.5,0,nop_idle_thinking
113005,113,1,1,105511,115,240,-150,1.5,1,nop_idle_sad
114001,114,1,1,106831,115,100,-150,1.5,1,nop_idle_normal
114002,114,1,1,101131,114,-100,-150,1.5,0,nop_idle_normal
114003,114,1,1,104931,110,-215,-127,1.5,0,nop_idle_normal
115001,115,1,1,102931,115,100,-143,1.5,1,nop_idle_joy1
115002,115,1,1,104211,110,-100,-135,1.5,0,nop_idle_wish
115003,115,1,1,105411,114,-215,-150,1.5,0,nop_idle_normal
116001,116,1,1,106731,115,100,-150,1.5,1,nop_idle_normal
116002,116,1,1,106631,114,-100,-150,1.5,0,nop_idle_joy1
116003,116,1,1,106531,110,-215,-127,1.5,0,nop_16_kaya_idle_normal2
116004,116,5,1,2,116,180,-150,1.5,1,nop_rago_idle
117001,117,1,1,111031,115,100,-150,1.5,1,nop_idle_normal
117002,117,1,1,110931,114,-100,-150,1.5,0,nop_idle_joy2
117003,117,1,1,110831,110,-215,-127,1.5,0,nop_17_chloe_idle_normal2
117004,117,5,1,1,115,-100,-150,1.5,0,NoItem_idle
118001,118,1,1,114711,115,-100,-150,1.5,1,nop_18_muimi_idle_joy_normal
118002,118,1,1,118511,114,100,-150,1.5,0,nop_18_karin_idle_normal
118003,118,1,1,115031,111,-215,-127,1.5,0,nop_idle_normal
118004,118,1,1,118031,110,215,-127,1.5,1,nop_idle_joy1
201001,201,1,1,111831,100,-60,0,1.2,0,nop_idle_joy1
201002,201,1,1,120731,101,60,0,1.2,1,nop_idle_normal_joy
201003,201,1,1,120831,102,-130,-5,1.2,0,nop_idle_arm_crossed
201004,201,1,1,111931,103,130,-5,1.2,1,nop_idle_normal
