story_id,story_seq,story_phase,title,sub_title,read_condition_time,condition_quest_id,condition_boss_count,adv_flg,adv_id
11,1,1,"","",0,10065105,0,1,5038600
12,2,1,"高中1年级　千爱瑠","应该流传至下世纪的新言语",0,10065105,0,0,0
13,3,1,"高中2年级　克罗依","我非常不擅长写作文",0,10065107,0,0,0
14,4,1,"高中3年级　优妮","自由飞翔",0,10065109,0,0,0
21,5,2,"","",0,10065111,0,2,5038601
22,6,2,"记录负责人　秋乃","我想到了！",0,10065111,0,0,0
23,7,2,"记录负责人　珠希","组装喵！",0,10065112,0,0,0
24,8,2,"记录负责人　由加莉","我写过这个吗？",0,10065113,0,0,0
25,9,2,"记录负责人　美冬","不能放着不管",0,10065114,0,0,0
26,10,2,"总结","特别讲座结束",0,10065115,0,0,0
31,11,3,"","",0,10065115,1,2,5038602
32,12,3,"浪漫继承计划","开发记录 - 考察",0,10065115,1,0,0
33,13,3,"未全充溢计划","开发记录 - 试作机完成",0,10065115,2,0,0
34,14,3,"画龙点睛计划","开发记录 - 最终工程",0,10065115,3,0,0
35,15,3,"","","2023/04/23 23:59:59",10065115,3,3,5038603
