omp_story_id,event_id,condition_quest_id,condition_boss_id,story_seq,is_readable_on_result,reward_type,reward_id,reward_count,sub_title
7001,10062,10062103,0,1,0,0,0,0,"卯月和凛的回忆"
7002,10062,10062107,0,2,0,0,0,0,"New Generations的回忆"
7003,10062,10062107,0,4,0,0,0,0,"卯月和未央的回忆"
7004,10062,10062111,0,6,0,0,0,0,"美食殿堂的回忆"
7005,10062,10062111,0,7,0,0,0,0,"凛和未央的回忆"
7006,10062,10062111,0,8,0,0,0,0,"New Generations的回忆"
7007,10062,10062115,0,9,0,0,0,0,"New Generations和美食殿堂的回忆"
7008,10062,10062115,0,10,0,0,0,0,"美食殿堂的回忆"
7009,10063,10063111,0,14,0,0,0,0,"New Generations和美食殿堂的回忆"
7102,10062,10062107,0,3,0,0,0,0,"New Generations的回忆"
7103,10062,10062107,0,5,0,0,0,0,"美食殿堂的回忆"
7104,10062,10062115,0,11,0,0,0,0,"New Generations和美食殿堂的回忆"
7105,10063,10063111,0,12,0,0,0,0,"New Generations和美食殿堂的回忆"
7106,10063,10063111,0,13,0,0,0,0,"New Generations和美食殿堂的回忆"
7201,10062,10062103,0,15,1,7,2405,1,""
