id,pkb_score,mission_detail,reward_type_1,reward_id_1,reward_count_1,reward_type_2,reward_id_2,reward_count_2,reward_type_3,reward_id_3,reward_count_3,reward_type_4,reward_id_4,reward_count_4,reward_type_5,reward_id_5,reward_count_5
1,2000,"累计获得2000以上的分数吧",12,94002,20000,0,0,0,0,0,0,0,0,0,0,0,0
2,4000,"累计获得4000以上的分数吧",12,94002,30000,0,0,0,0,0,0,0,0,0,0,0,0
3,8000,"累计获得8000以上的分数吧",8,91002,25,0,0,0,0,0,0,0,0,0,0,0,0
4,10000,"累计获得10000以上的分数吧",12,94002,40000,0,0,0,0,0,0,0,0,0,0,0,0
5,12000,"累计获得12000以上的分数吧",12,94002,50000,0,0,0,0,0,0,0,0,0,0,0,0
6,14000,"累计获得14000以上的分数吧",2,23001,20,0,0,0,0,0,0,0,0,0,0,0,0
7,18000,"累计获得18000以上的分数吧",8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
8,21000,"累计获得21000以上的分数吧",12,94002,70000,0,0,0,0,0,0,0,0,0,0,0,0
9,24000,"累计获得24000以上的分数吧",12,94002,80000,0,0,0,0,0,0,0,0,0,0,0,0
10,27000,"累计获得27000以上的分数吧",8,91002,75,0,0,0,0,0,0,0,0,0,0,0,0
11,35000,"累计获得35000以上的分数吧",2,23001,50,0,0,0,0,0,0,0,0,0,0,0,0
12,40000,"累计获得40000以上的分数吧",8,91002,100,0,0,0,0,0,0,0,0,0,0,0,0
13,45000,"累计获得45000以上的分数吧",12,94002,100000,0,0,0,0,0,0,0,0,0,0,0,0
14,50000,"累计获得50000以上的分数吧",15,11001086,1,0,0,0,0,0,0,0,0,0,0,0,0
