drama_id,condition_total_eat,condition_chara_type,condition_time,condition_psy_product_1,condition_psy_product_2,condition_psy_product_3,condition_psy_product_4,condition_psy_product_5,release_psy_product_id_1,release_psy_product_id_2,release_psy_product_id_3,release_psy_product_id_4,release_psy_product_id_5,title
1,0,0,0,0,0,0,0,0,0,0,0,0,0,"宫子厨房"
2,48,0,0,0,0,0,0,0,102,0,0,0,0,"把你变成布丁"
3,96,0,0,0,0,0,0,0,152,0,0,0,0,"比幽灵还可怕的东西？"
4,144,0,0,0,0,0,0,0,142,0,0,0,0,"办宴会要和做布丁同步进行"
5,168,0,0,0,0,0,0,0,127,0,0,0,0,"为布丁献上爱"
6,192,0,0,0,0,0,0,0,107,0,0,0,0,"稍微成长了一些？"
7,240,0,0,0,0,0,0,0,0,0,0,0,0,"啾啾！"
8,0,20,0,0,0,0,0,0,153,154,155,0,0,"三个可爱的手下"
9,0,40,0,0,0,0,0,0,150,157,0,0,0,"奇怪的兴趣"
10,0,50,0,0,0,0,0,0,125,161,0,0,0,"别放进去很危险的"
11,0,60,0,0,0,0,0,0,116,135,0,0,0,"这是菜谱吗？"
