command_id,drama_id,command_type,param_01,param_02,param_03,param_04,param_05,param_06,param_07,param_08
1001,1,1,1,119931,100,-200,-220,1.7,0,psy_miyako_idle
1002,1,5,1,1,100,1000,-220,1.7,1,psy_idle_normal
1003,1,5,1,2,105,-50,-220,1.7,0,psy_fairy_idle
1004,1,31,1,11,0,0,1,1,"",""
1005,1,3,1,psy_item00_run,1,"","",0.2,"",""
1006,1,2,1,285,-220,2.5,0,"","",""
1007,1,93,2.5,"","","","","","",""
1008,1,3,1,psy_item00_idle,1,"","",0.2,"",""
1009,1,93,0.5,"","","","","","",""
1010,1,3,119931,psy_miyako_talk1,1,"","",0.2,"",""
1011,1,21,vo_minigame_1008,vo_minigame_1008_drama_0101,0,0,"","","",""
1012,1,11,119931,"等奶奶买完东西\n回来，我就要\n给她看看究极的布丁，\n吓她一跳！",6,1,0,0,0,0.5
1013,1,93,8,1,"","","","","",""
1014,1,3,119931,psy_miyako_doya_in,0,psy_miyako_doya_loop,1,0.2,0.2,""
1015,1,91,1012,"","","","","","",""
1016,1,22,0,0,"","","","","",""
1017,1,3,2,psy_fairy_talk,1,"","",0.2,"",""
1018,1,21,vo_minigame_1008,vo_minigame_1008_drama_9901,0,0,"","","",""
1019,1,11,2,"啾啾！",6,1,0,0,0,0.5
1020,1,91,0,"","","","","","",""
1021,1,3,2,psy_fairy_idle,1,"","",0.2,"",""
1022,1,3,119931,psy_miyako_talk2,1,"","",0.2,"",""
1023,1,21,vo_minigame_1008,vo_minigame_1008_drama_0102,0,0,"","","",""
1024,1,11,119931,"你也想帮忙吗？\n那就帮我从真阳那里\n带很多鸡蛋和牛奶回来吧！\n材料当然是准备多一点更好！",3,1,0,0,0,0.5
1025,1,93,9,1,"","","","","",""
1026,1,3,119931,psy_miyako_talk_joy2,1,"","",0.2,"",""
1027,1,91,1024,"","","","","","",""
1028,1,22,0,0,"","","","","",""
1029,1,3,119931,psy_miyako_idle,1,"","",0.2,"",""
1030,1,4,2,1,"","","","","",""
1031,1,3,2,psy_fairy_run_in,0,psy_fairy_run,1,0.2,0,""
1032,1,93,1.3,"","","","","","",""
1033,1,2,2,1000,-220,1,0,"","",""
1034,1,93,2,"","","","","","",""
1035,1,3,119931,psy_miyako_doya_in,0,psy_miyako_doya_loop,1,0.2,0.2,""
1036,1,21,vo_minigame_1008,vo_minigame_1008_drama_0103,0,0,"","","",""
1037,1,11,119931,"你就来帮宫子吧！\n麻烦事\n都交给你了！",3,1,0,0,0,0.5
1038,1,91,0,"","","","","","",""
1039,1,22,0,0,"","","","","",""
1040,1,12,1,11,1,0,0,0,0,0
1041,1,3,1,psy_item00_talk_guts,0,psy_item00_idle_guts,1,0.2,0.2,""
1042,1,93,2,"","","","","","",""
1043,1,3,119931,psy_miyako_talk_joy2,1,"","",0.2,"",""
1044,1,21,vo_minigame_1008,vo_minigame_1008_drama_0104,0,0,"","","",""
1045,1,11,119931,"我要把大家\n都变成好吃的布丁♪",5,1,0,0,0,0.5
1046,1,93,4,1,"","","","","",""
1047,1,3,119931,psy_miyako_fight_in,0,psy_miyako_fight_loop,1,0.2,0.2,""
1048,1,3,1,psy_item00_handsup,0,psy_item00_handsup_loop,1,0.2,0.2,""
1049,1,93,1.5,"","","","","","",""
1050,1,91,1045,"","","","","","",""
