id,condition_type,condition_num,reward_type_1,reward_id_1,reward_count_1,reward_type_2,reward_id_2,reward_count_2,reward_type_3,reward_id_3,reward_count_3,reward_type_4,reward_id_4,reward_count_4,description
1,1,15,12,94002,20000,0,0,0,0,0,0,0,0,0,"プリンを15種類食べよう"
2,1,30,12,94002,30000,0,0,0,0,0,0,0,0,0,"プリンを30種類食べよう"
3,1,40,8,91002,50,0,0,0,0,0,0,0,0,0,"プリンを40種類食べよう"
4,1,50,12,94002,50000,0,0,0,0,0,0,0,0,0,"プリンを50種類食べよう"
5,1,55,8,91002,50,0,0,0,0,0,0,0,0,0,"プリンを55種類食べよう"
6,1,60,12,94002,100000,0,0,0,0,0,0,0,0,0,"プリンを60種類食べよう"
7,1,66,15,11001164,1,8,91002,100,0,0,0,0,0,0,"プリンを全66種類食べよう"
8,2,25,12,94002,50000,0,0,0,0,0,0,0,0,0,"プリンノートを25％コンプリートしよう"
9,2,50,8,91002,50,0,0,0,0,0,0,0,0,0,"プリンノートを50％コンプリートしよう"
10,2,75,12,94002,100000,0,0,0,0,0,0,0,0,0,"プリンノートを75％コンプリートしよう"
11,2,100,16,9000100,1,15,11001165,1,8,91002,100,0,0,0,"プリンノートを100％コンプリートしよう"
