area_id,area_name,map_type,sheet_id,que_id,start_time,end_time
11001,"1.朱诺平原",101,bgm_M61,bgm_M61,"2020/01/01 0:00:00","2099/12/31 23:59:59"
11002,"2.帕拉斯高原",101,bgm_M61,bgm_M61_02,"2020/01/01 0:00:00","2099/12/31 23:59:59"
11003,"3.赫柏丘陵",101,bgm_M61,bgm_M61_03,"2020/01/01 0:00:00","2099/12/31 23:59:59"
11004,"4.维斯塔溪谷",101,bgm_M61,bgm_M61_04,"2020/01/01 0:00:00","2099/12/31 23:59:59"
11005,"5.克瑞斯森林",101,bgm_M62,bgm_M62_01,"2020/01/01 0:00:00","2099/12/31 23:59:59"
11006,"6.弗洛拉湖畔",101,bgm_M62,bgm_M62_02,"2020/01/01 0:00:00","2099/12/31 23:59:59"
11007,"7.墨提斯大瀑布",101,bgm_M62,bgm_M62_03,"2020/01/01 0:00:00","2099/12/31 23:59:59"
11008,"8.伊丽丝树海",101,bgm_M42,bgm_M42_02,"2020/01/01 0:00:00","2099/12/31 23:59:59"
11009,"9.弗丽嘉雪原",101,bgm_M58,bgm_M58,"2020/01/01 0:00:00","2099/12/31 23:59:59"
11010,"10.洛蕾塔海岸",101,bgm_M101,bgm_M101,"2020/05/25 15:00:00","2099/12/31 23:59:59"
11011,"11.热那亚沙漠",101,bgm_M93,bgm_M93,"2020/06/23 11:00:00","2099/12/31 23:59:59"
11012,"12.博洛尼亚沙丘",101,bgm_M94,bgm_M94,"2020/07/20 11:00:00","2099/12/31 23:59:59"
11013,"13.多萝西娅湿地",101,bgm_M118,bgm_M118,"2020/08/18 11:00:00","2099/12/31 23:59:59"
11014,"14.尤金妮亚热带",101,bgm_M95,bgm_M95,"2020/09/15 11:00:00","2099/12/31 23:59:59"
11015,"15.塔利亚火山",101,bgm_M96,bgm_M96,"2020/10/09 11:00:00","2099/12/31 23:59:59"
11016,"16.忒密斯雪山",101,bgm_M140,bgm_M140,"2020/11/10 11:00:00","2099/12/31 23:59:59"
11017,"17.菲德斯冰原",101,bgm_M141,bgm_M141,"2020/11/30 11:00:00","2099/12/31 23:59:59"
11018,"18.小行星原野・北部",102,bgm_M179,bgm_M179,"2020/12/30 11:00:00","2099/12/31 23:59:59"
11019,"19.小行星原野・南部",102,bgm_M179,bgm_M179,"2021/02/01 11:00:00","2099/12/31 23:59:59"
11020,"20.卡斯塔利亚森林・西部",102,bgm_M180,bgm_M180,"2021/03/01 11:00:00","2099/12/31 23:59:59"
11021,"21.卡斯塔利亚森林・东部",102,bgm_M180,bgm_M180,"2021/03/30 11:00:00","2099/12/31 23:59:59"
12001,"1.朱诺平原",101,bgm_M61,bgm_M61,"2020/01/01 0:00:00","2099/12/31 23:59:59"
12002,"2.帕拉斯高原",101,bgm_M61,bgm_M61_02,"2020/01/01 0:00:00","2099/12/31 23:59:59"
12003,"3.赫柏丘陵",101,bgm_M61,bgm_M61_03,"2020/01/01 0:00:00","2099/12/31 23:59:59"
12004,"4.维斯塔溪谷",101,bgm_M61,bgm_M61_04,"2020/01/01 0:00:00","2099/12/31 23:59:59"
12005,"5.克瑞斯森林",101,bgm_M62,bgm_M62_01,"2020/01/01 0:00:00","2099/12/31 23:59:59"
12006,"6.弗洛拉湖畔",101,bgm_M62,bgm_M62_02,"2020/01/01 0:00:00","2099/12/31 23:59:59"
12007,"7.墨提斯大瀑布",101,bgm_M62,bgm_M62_03,"2020/01/01 0:00:00","2099/12/31 23:59:59"
12008,"8.伊丽丝树海",101,bgm_M42,bgm_M42_02,"2020/01/01 0:00:00","2099/12/31 23:59:59"
12009,"9.弗丽嘉雪原",101,bgm_M58,bgm_M58,"2020/01/01 0:00:00","2099/12/31 23:59:59"
12010,"10.洛蕾塔海岸",101,bgm_M101,bgm_M101,"2020/05/25 15:00:00","2099/12/31 23:59:59"
12011,"11.热那亚沙漠",101,bgm_M93,bgm_M93,"2020/06/23 11:00:00","2099/12/31 23:59:59"
12012,"12.博洛尼亚沙丘",101,bgm_M94,bgm_M94,"2020/07/20 11:00:00","2099/12/31 23:59:59"
12013,"13.多萝西娅湿地",101,bgm_M118,bgm_M118,"2020/08/18 11:00:00","2099/12/31 23:59:59"
12014,"14.尤金妮亚热带",101,bgm_M95,bgm_M95,"2020/09/15 11:00:00","2099/12/31 23:59:59"
12015,"15.塔利亚火山",101,bgm_M96,bgm_M96,"2020/10/09 11:00:00","2099/12/31 23:59:59"
12016,"16.忒密斯雪山",101,bgm_M140,bgm_M140,"2020/11/10 11:00:00","2099/12/31 23:59:59"
12017,"17.菲德斯冰原",101,bgm_M141,bgm_M141,"2020/11/30 11:00:00","2099/12/31 23:59:59"
12018,"18.小行星原野・北部",102,bgm_M179,bgm_M179,"2020/12/30 11:00:00","2099/12/31 23:59:59"
12019,"19.小行星原野・南部",102,bgm_M179,bgm_M179,"2021/02/01 11:00:00","2099/12/31 23:59:59"
12020,"20.卡斯塔利亚森林・西部",102,bgm_M180,bgm_M180,"2021/03/01 11:00:00","2099/12/31 23:59:59"
12021,"21.卡斯塔利亚森林・东部",102,bgm_M180,bgm_M180,"2021/03/30 11:00:00","2099/12/31 23:59:59"
18001,"圣迹调查关卡",0,"","","2020/09/28 9:00:00","2099/12/31 23:59:59"
21001,"玛那关卡",0,"","","2020/01/01 0:00:00","2099/12/31 23:59:59"
21002,"经验值关卡",0,"","","2020/01/01 0:00:00","2099/12/31 23:59:59"
