character_id,skin_color_id
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,2
1008,2
1009,2
1010,2
1011,1
1012,1
1013,1
1014,2
1015,1
1016,1
1017,3
1018,1
1020,2
1021,1
1022,1
1023,1
1025,1
1026,1
1027,1
1028,1
1029,1
1030,2
1031,2
1032,1
1033,1
1034,1
1036,2
1037,1
1038,2
1040,1
1042,2
1043,1
1044,2
1045,1
1046,1
1048,1
1049,1
1050,1
1051,1
1053,2
1054,1
1055,1
1056,2
1057,1
1058,1
1059,2
1060,2
1061,1
1063,1
1064,2
1065,3
1066,1
1067,2
1068,1
1070,2
1071,2
1075,1
1076,2
1077,1
1078,2
1079,1
1080,1
1081,2
1082,2
1083,1
1084,2
1085,1
1086,1
1087,1
1088,1
1089,1
1090,1
1091,1
1092,2
1093,1
1094,2
1095,1
1096,2
1097,2
1098,2
1099,2
1100,1
1101,1
1103,1
1104,1
1105,3
1106,2
1107,1
1108,1
1109,2
1110,2
1111,2
1112,1
1113,2
1114,2
1115,2
1116,1
1117,2
1118,1
1119,2
1120,2
1121,1
1122,2
1123,2
1124,1
1125,1
1126,1
1127,1
1128,1
1129,1
1130,1
1131,2
1132,2
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,1
1141,1
1142,2
1143,1
1144,1
1145,1
1146,1
1147,1
1150,2
1155,2
1156,1
1157,2
1158,1
1159,1
1160,2
1162,1
1163,2
1164,2
1165,1
1166,3
1167,1
1168,1
1169,1
1170,1
1171,1
1172,1
1173,2
1174,1
1175,1
1176,2
1177,3
1178,2
1179,1
1180,2
1181,2
1183,1
1184,2
1185,2
1190,1
1191,1
1192,1
1193,1
1199,2
1204,2
1205,1
1206,2
1207,2
1208,2
1209,2
1210,1
1211,2
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1219,2
1220,2
1221,1
1222,1
1701,2
1702,2
1703,1
1801,1
1802,1
1803,1
1804,1
1805,2
1806,2
