id,item_type,category,name,max_level,enable_remove,max_possession_num,effect_id_1,shop_start,shop_end,shop_new_disp_end,cost_item_num,shop_open_type,shop_open_id,shop_open_value,sold_price,sort,condition_quest_id
1,1,101,"花凛的桌子",16,1,1,1,"2020-01-01 0:00:00","","",500,0,0,0,0,900143,0
3,5,903,"兰德索尔的背景",1,1,1,0,"2020-01-01 0:00:00","","",-1,0,0,0,0,900141,0
4,4,902,"公会之家的墙壁",1,1,1,0,"2020-01-01 0:00:00","","",-1,0,0,0,0,900140,0
5,4,902,"透明墙壁",1,1,1,0,"2020-01-01 0:00:00","","",18000,0,0,0,9000,900139,0
6,3,901,"透明地板",1,1,1,0,"2020-01-01 0:00:00","","",18000,0,0,0,9000,900138,0
7,1,199,"无限饭团",1,1,1,0,"2020-01-01 0:00:00","","",300,0,0,0,150,900137,0
8,1,299,"魔法书架",1,1,1,0,"2020-01-01 0:00:00","","",300,0,0,0,150,900136,0
9,1,199,"随心炖锅",1,1,1,0,"2020-01-01 0:00:00","","",900,0,0,0,450,900135,0
10,1,299,"莉玛的布娃娃",1,1,1,0,"2020-01-01 0:00:00","","",1500,0,0,0,750,900134,0
11,1,299,"香薰扩散器①",1,1,10,0,"2020-01-01 0:00:00","","",300,0,0,0,150,900133,0
12,1,299,"香薰扩散器②",1,1,10,0,"2020-01-01 0:00:00","","",300,0,0,0,150,900132,0
13,1,103,"书架①",1,1,10,0,"2020-01-01 0:00:00","","",600,0,0,0,300,900131,0
14,1,103,"书架②",1,1,10,0,"2020-01-01 0:00:00","","",600,0,0,0,300,900130,0
15,1,101,"木桌①",1,1,10,0,"2020-01-01 0:00:00","","",600,0,0,0,300,900129,0
16,1,101,"木桌②",1,1,10,0,"2020-01-01 0:00:00","","",1200,0,0,0,600,900128,0
17,1,102,"木椅",1,1,10,0,"2020-01-01 0:00:00","","",300,0,0,0,150,900127,0
18,1,102,"木凳",1,1,10,0,"2020-01-01 0:00:00","","",300,0,0,0,150,900126,0
20,1,104,"木床",1,1,10,0,"2020-01-01 0:00:00","","",1500,0,0,0,750,900124,0
21,1,103,"木柜",1,1,10,0,"2020-01-01 0:00:00","","",600,0,0,0,300,900123,0
22,1,204,"木隔断",1,1,10,0,"2020-01-01 0:00:00","","",600,0,0,0,300,900122,0
23,4,902,"木墙",1,1,1,0,"2020-01-01 0:00:00","","",1200,0,0,0,600,900121,0
24,3,901,"木地板",1,1,1,0,"2020-01-01 0:00:00","","",1200,0,0,0,0,900120,0
25,1,904,"木制楼梯·上行",1,1,3,0,"2020-01-01 0:00:00","","",-1,0,0,0,0,900119,0
26,1,904,"木制楼梯·下行",1,1,3,0,"2020-01-01 0:00:00","","",-1,0,0,0,0,900118,0
27,1,101,"红木桌子①",1,1,10,0,"2020-01-01 0:00:00","","",600,0,0,0,300,900117,0
28,1,101,"红木桌子②",1,1,10,0,"2020-01-01 0:00:00","","",1200,0,0,0,600,900116,0
29,1,102,"红木椅子",1,1,10,0,"2020-01-01 0:00:00","","",300,0,0,0,150,900115,0
30,1,102,"红木坐凳",1,1,10,0,"2020-01-01 0:00:00","","",300,0,0,0,150,900114,0
32,1,104,"红木床",1,1,10,0,"2020-01-01 0:00:00","","",1500,0,0,0,750,900112,0
33,1,103,"红木置物柜",1,1,10,0,"2020-01-01 0:00:00","","",600,0,0,0,300,900111,0
34,1,204,"红木隔断",1,1,10,0,"2020-01-01 0:00:00","","",600,0,0,0,300,900110,0
35,4,902,"红木墙壁",1,1,1,0,"2020-01-01 0:00:00","","",1200,0,0,0,600,900109,0
36,3,901,"红木地板",1,1,1,0,"2020-01-01 0:00:00","","",1200,0,0,0,600,900108,0
37,1,904,"红木楼梯·上行",1,1,3,0,"2020-01-01 0:00:00","","",1500,0,0,0,750,900107,0
38,1,904,"红木楼梯·下行",1,1,3,0,"2020-01-01 0:00:00","","",1500,0,0,0,750,900106,0
