level_id,degree,free_reward_type,free_reward_id,free_reward_num,charge_reward_type_1,charge_reward_id_1,charge_reward_num_1,charge_reward_type_2,charge_reward_id_2,charge_reward_num_2,event_id
1,1,2,90005,5,8,91002,50,4,140001,10,10004
2,0,2,23001,10,2,23001,20,0,0,0,10004
3,0,2,22003,10,2,22003,20,0,0,0,10004
4,0,2,20004,5,2,20004,10,0,0,0,10004
5,1,8,91002,30,2,24001,1,2,23001,100,10004
6,0,50,1004002,3,50,1004002,5,0,0,0,10004
7,0,12,94002,200000,12,94002,500000,0,0,0,10004
8,0,51,93002,50,51,93002,100,0,0,0,10004
9,0,50,1002001,2,50,1002001,5,0,0,0,10004
10,1,8,91002,30,50,1002001,10,8,91002,50,10004
11,0,2,90005,5,2,90005,10,0,0,0,10004
12,0,2,23001,10,2,23001,20,0,0,0,10004
13,0,0,0,0,50,1004002,5,0,0,0,10004
14,0,12,94002,200000,12,94002,500000,0,0,0,10004
15,1,2,24001,1,2,24001,1,2,22003,50,10004
16,0,2,22003,10,2,22003,20,0,0,0,10004
17,0,2,20004,5,2,20004,10,0,0,0,10004
18,0,0,0,0,51,93002,100,0,0,0,10004
19,0,50,1002001,2,50,1002001,5,0,0,0,10004
20,1,8,91002,30,2,24001,1,2,90005,10,10004
21,0,2,23001,10,2,23001,20,0,0,0,10004
22,0,0,0,0,12,94002,500000,0,0,0,10004
23,0,0,0,0,51,93002,100,0,0,0,10004
24,0,2,22003,10,2,22003,20,0,0,0,10004
25,1,8,91002,30,8,91002,50,2,20004,30,10004
26,0,2,20004,5,2,20004,10,0,0,0,10004
27,0,0,0,0,50,1004002,5,0,0,0,10004
28,0,0,0,0,12,94002,500000,0,0,0,10004
29,0,50,1002001,2,50,1002001,5,0,0,0,10004
30,1,2,24001,1,2,24001,1,2,22003,50,10004
31,0,2,90005,5,2,90005,10,0,0,0,10004
32,0,0,0,0,2,23001,20,0,0,0,10004
33,0,0,0,0,2,22003,10,0,0,0,10004
34,0,12,94002,200000,12,94002,500000,0,0,0,10004
35,1,50,1002001,5,50,1002001,10,8,91002,50,10004
36,0,51,93002,50,51,93002,100,0,0,0,10004
37,0,0,0,0,2,20004,10,0,0,0,10004
38,0,0,0,0,50,1004002,5,0,0,0,10004
39,0,2,23001,10,2,23001,20,0,0,0,10004
40,1,50,1002001,5,2,90005,10,2,20004,30,10004
41,0,2,22003,5,2,22003,10,0,0,0,10004
42,0,0,0,0,12,94002,500000,0,0,0,10004
43,0,0,0,0,50,1002001,5,0,0,0,10004
44,0,2,20004,5,2,20004,10,0,0,0,10004
45,1,50,1002001,5,2,90005,10,8,91002,50,10004
46,0,2,90005,5,2,90005,10,0,0,0,10004
47,0,0,0,0,2,23001,20,0,0,0,10004
48,0,0,0,0,2,22003,10,0,0,0,10004
49,0,50,1004002,3,50,1004002,5,0,0,0,10004
50,1,8,91002,30,2,24001,1,4,140001,10,10004
51,0,12,94002,200000,12,94002,500000,0,0,0,10004
52,0,0,0,0,50,1002001,5,0,0,0,10004
53,0,0,0,0,2,20004,10,0,0,0,10004
54,0,51,93002,50,51,93002,100,0,0,0,10004
55,1,50,1004002,5,50,1004003,1,50,1004003,1,10004
56,0,2,90005,5,2,90005,10,0,0,0,10004
57,0,0,0,0,50,1004004,5,0,0,0,10004
58,0,0,0,0,50,1002001,5,0,0,0,10004
59,0,2,23001,10,2,23001,20,0,0,0,10004
60,1,50,1002001,5,50,1002001,10,8,91002,50,10004
61,0,2,22003,10,2,22003,10,0,0,0,10004
62,0,0,0,0,12,94002,500000,0,0,0,10004
63,0,0,0,0,51,93002,100,0,0,0,10004
64,0,2,20004,5,2,20004,10,0,0,0,10004
65,1,50,1002001,5,2,90005,20,8,91002,50,10004
66,0,2,90005,5,2,90005,10,0,0,0,10004
67,0,0,0,0,2,23001,20,0,0,0,10004
68,0,0,0,0,2,22003,10,0,0,0,10004
69,0,51,93002,50,50,1004004,5,0,0,0,10004
70,1,2,24001,1,2,24001,1,2,22003,100,10004
71,0,0,0,0,2,20004,10,0,0,0,10004
72,0,0,0,0,2,90005,10,0,0,0,10004
73,0,0,0,0,12,94002,500000,0,0,0,10004
74,0,0,0,0,51,93002,100,0,0,0,10004
75,1,8,91002,30,2,90005,20,4,140001,10,10004
76,0,0,0,0,50,1002001,5,0,0,0,10004
77,0,0,0,0,50,1004004,5,0,0,0,10004
78,0,0,0,0,50,1004003,1,0,0,0,10004
79,0,0,0,0,2,90005,10,0,0,0,10004
80,1,50,1002001,5,50,1002001,10,8,91002,50,10004
81,0,0,0,0,50,1004004,5,0,0,0,10004
82,0,0,0,0,12,94002,500000,0,0,0,10004
83,0,0,0,0,2,90005,10,0,0,0,10004
84,0,0,0,0,51,93002,100,0,0,0,10004
85,1,50,1004004,5,50,1004005,1,50,1004005,1,10004
86,0,0,0,0,50,1002001,5,0,0,0,10004
87,0,0,0,0,50,1004004,5,0,0,0,10004
88,0,0,0,0,51,93002,100,0,0,0,10004
89,0,0,0,0,2,90005,10,0,0,0,10004
90,1,8,91002,30,8,91002,50,2,20004,60,10004
91,0,0,0,0,12,94002,500000,0,0,0,10004
92,0,0,0,0,50,1002001,5,0,0,0,10004
93,0,0,0,0,50,1004004,5,0,0,0,10004
94,0,0,0,0,51,93002,100,0,0,0,10004
95,1,8,91002,30,2,90005,20,4,140001,10,10004
96,0,0,0,0,12,94002,500000,0,0,0,10004
97,0,0,0,0,50,1002001,5,0,0,0,10004
98,0,0,0,0,50,1004004,5,0,0,0,10004
99,0,0,0,0,50,1004005,1,0,0,0,10004
100,1,2,24001,1,2,21901,1,2,24002,1,10004
