id,mission_reward_id,reward_type,reward_id,reward_num
1,10020001,1001,98002,40
2,10020002,1001,98002,200
3,10020003,1001,98002,300
4,10020004,1001,98002,400
5,10020004,12,94002,200000
6,10020004,8,91002,80
7,10020005,1001,98002,400
8,10020005,12,94002,200000
9,10020005,2,60301,100
10,10020006,1001,98002,400
11,10020006,12,94002,200000
12,10020006,2,60321,100
13,10020007,1001,98002,400
14,10020007,2,90005,50
15,10020008,1001,98002,400
16,10020009,1001,98002,400
17,10020009,2,90005,50
18,10020009,2,24001,1
