quest_id,dungeon_area_id,difficulty,floor_num,quest_type,wave_group_id,limit_time,parts_hp_save_flag,energy_reset_flag,fixed_start_tp_rate,emax,reward_image_1,reward_image_2,reward_image_3,reward_image_4,reward_image_5,reward_image_6,reward_coin,reward_csc,chest_id,odds_group_id,background,dungeon_quest_detail_bg_id,dungeon_quest_detail_bg_position,dungeon_quest_detail_monster_size,dungeon_quest_detail_monster_position_x_1,dungeon_quest_detail_monster_position_x_2,dungeon_quest_detail_monster_position_x_3,dungeon_quest_detail_monster_position_x_4,dungeon_quest_detail_monster_position_x_5,dungeon_quest_detail_monster_height,multi_target_effect_time,wave_bgm_sheet_id_1,wave_bgm_que_id_1
320010101,32001,1,1,1,0,90,0,0,0,0,90002,90008,94002,140001,25001,0,600,20,40004,3200101,102841,102841,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010102,32001,1,2,1,0,90,0,0,0,0,90002,90008,94002,140001,25001,0,800,20,40004,3200101,102842,102842,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010103,32001,1,3,1,0,90,0,0,0,0,90002,90008,94002,140001,25001,0,800,20,40004,3200102,102843,102843,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010104,32001,1,4,1,0,90,0,0,0,0,90002,90008,94002,140001,25001,0,1200,20,40004,3200103,102842,102842,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010105,32001,1,5,1,0,90,0,0,0,0,90002,90008,94002,140001,25001,90005,1200,20,40004,3200104,102841,102841,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010106,32001,1,6,5,502001111,90,0,1,0,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102842,102842,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M126,bgm_M126
320010107,32001,1,7,5,502001121,90,0,1,0,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102843,102843,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M126,bgm_M126
320010108,32001,1,8,3,502001131,90,0,1,0,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102851,102851,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M64,bgm_M64
320010109,32001,1,9,3,502001141,90,0,1,0,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102851,102851,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M64,bgm_M64
320010110,32001,1,10,3,502001151,90,1,1,0,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102852,102852,-50,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.1,bgm_M63,bgm_M63
320010201,32001,2,1,1,0,90,0,0,100,0,90002,90008,94002,140001,25001,0,600,20,40004,3200101,102841,102841,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010202,32001,2,2,1,0,90,0,0,100,0,90002,90008,94002,140001,25001,0,800,20,40004,3200101,102842,102842,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010203,32001,2,3,1,0,90,0,0,100,0,90002,90008,94002,140001,25001,0,800,20,40004,3200102,102843,102843,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010204,32001,2,4,1,0,90,0,0,100,0,90002,90008,94002,140001,25001,0,1200,20,40004,3200103,102842,102842,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010205,32001,2,5,1,0,90,0,0,100,0,90002,90008,94002,140001,25001,90005,1200,20,40004,3200104,102841,102841,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010206,32001,2,6,5,502001211,90,0,1,100,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102842,102842,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M126,bgm_M126
320010207,32001,2,7,5,502001221,90,0,1,100,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102843,102843,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M126,bgm_M126
320010208,32001,2,8,3,502001231,90,0,1,100,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102851,102851,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M64,bgm_M64
320010209,32001,2,9,3,502001241,90,0,1,100,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102851,102851,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M64,bgm_M64
320010210,32001,2,10,3,502001251,90,1,1,100,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102852,102852,-50,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.1,bgm_M63,bgm_M63
320010301,32001,3,1,1,0,90,0,0,200,0,90002,90008,94002,140001,25001,0,600,20,40004,3200101,102841,102841,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010302,32001,3,2,1,0,90,0,0,200,0,90002,90008,94002,140001,25001,0,800,20,40004,3200101,102842,102842,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010303,32001,3,3,1,0,90,0,0,200,0,90002,90008,94002,140001,25001,0,800,20,40004,3200102,102843,102843,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010304,32001,3,4,1,0,90,0,0,200,0,90002,90008,94002,140001,25001,0,1200,20,40004,3200103,102842,102842,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010305,32001,3,5,1,0,90,0,0,200,0,90002,90008,94002,140001,25001,90005,1200,20,40004,3200104,102841,102841,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M06,bgm_M06
320010306,32001,3,6,5,502001311,90,0,1,200,1,90002,90008,94002,140001,25001,0,100,50,40004,3200105,102842,102842,-50,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgm_M126,bgm_M126
