event_id,start_time,end_time,condition_story_id,condition_chara_id,condition_main_quest_id,condition_shiori_quest_id,original_event_id,original_start_time,gojuon_order,help_index
20001,"2022/03/13 11:00:00","2088/06/15 11:00:00",0,0,0,0,10001,"2020/05/15 11:00:00",5001,1
20002,"2022/04/15 11:00:00","2088/06/15 11:00:00",0,0,0,0,10002,"2020/06/08 11:00:00",8101,1
20003,"2022/05/15 11:00:00","2088/06/15 11:00:00",0,0,0,0,10003,"2020/07/06 11:00:00",201,1
20004,"2022/06/14 11:00:00","2088/06/15 11:00:00",0,0,0,0,10004,"2020/08/19 19:00:00",3394,1,2
20005,"2022/07/13 11:00:00","2088/06/15 11:00:00",0,0,0,0,10005,"2020/09/16 19:00:00",3060,1,4
20006,"2022/08/15 11:00:00","2088/06/15 11:00:00",0,0,0,0,10006,"2020/10/14 19:00:00",1412,1
20007,"2022/09/19 11:00:00","2088/06/15 11:00:00",0,0,0,0,10007,"2020/10/26 11:00:00",3481,1,5
20008,"2022/10/14 11:00:00","2088/06/15 11:00:00",0,0,0,0,10008,"2020/11/23 11:00:00",3490,1
20009,"2022/11/21 11:00:00","2088/06/15 11:00:00",0,0,0,0,10009,"2020/12/20 11:00:00",5402,1,6
20010,"2022/12/21 11:00:00","2088/06/15 11:00:00",0,0,0,0,10010,"2021/1/18 9:00:00",2192,1,7
20011,"2023/1/17 11:00:00","2088/06/15 11:00:00",0,0,0,0,10011,"2021/02/14 11:00:00",5034,1,8
20012,"2023/2/15 11:00:00","2088/06/15 11:00:00",0,0,0,0,10012,"2021/03/15 11:00:00",402,1
20013,"2023/3/16 11:00:00","2088/06/15 11:00:00",0,0,0,0,10013,"2021/5/15 9:00:00",22,1,9
20014,"2023/4/09 9:00:00","2088/06/15 11:00:00",0,0,0,0,10015,"2021/06/14 11:00:00",2174,1
20015,"2023/5/15 11:00:00","2088/06/15 11:00:00",0,0,0,0,10019,"2021/07/12 11:00:00",2222,1,10
20016,"2023/6/16 11:00:00","2088/06/15 11:00:00",0,0,0,0,10021,"2021/08/09 11:00:00",6040,1,11
