id,unit_id,event_id,condition_mission_id,top_description,description_1,description_2
10,107601,20004,72004021,"去讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通首领，\n可解锁限定角色！！[-]","[3C404E]去讨伐普通难度首领进行解锁吧！"
12,108001,20005,72005021,"去讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通首领，\n可解锁限定角色！！[-]","[3C404E]去讨伐普通难度首领进行解锁吧！"
15,108201,20007,72007021,"去讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通首领，\n可解锁限定角色！！[-]","[3C404E]去讨伐普通难度首领进行解锁吧！"
17,108501,20009,72009021,"去讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通首领，\n可解锁限定角色！！[-]","[3C404E]去讨伐普通难度首领进行解锁吧！"
19,108901,20010,72010021,"去讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通首领，\n可解锁限定角色！！[-]","[3C404E]去讨伐普通难度首领进行解锁吧！"
21,109001,20011,72011021,"去讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通首领，\n可解锁限定角色！！[-]","[3C404E]去讨伐普通难度首领进行解锁吧！"
22,109301,20013,72013021,"去讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通首领，\n可解锁限定角色！！[-]","[3C404E]去讨伐普通难度首领进行解锁吧！"
23,110101,20015,72015021,"去讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通首领，\n可解锁限定角色！！[-]","[3C404E]去讨伐普通难度首领进行解锁吧！"
24,110501,20016,72016021,"去讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通首领，\n可解锁限定角色！！[-]","[3C404E]去讨伐普通难度首领进行解锁吧！"
25,111201,20018,72018021,"去讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通首领，\n可解锁限定角色！！[-]","[3C404E]去讨伐普通难度首领进行解锁吧！"
26,111601,20020,72020021,"去讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通首领，\n可解锁限定角色！！[-]","[3C404E]去讨伐普通难度首领进行解锁吧！"
27,112101,20021,72021021,"去讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通首领，\n可解锁限定角色！！[-]","[3C404E]去讨伐普通难度首领进行解锁吧！"
28,112301,20022,72022021,"去讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通首领，\n可解锁限定角色！！[-]","[3C404E]去讨伐普通难度首领进行解锁吧！"
29,113001,20025,72025021,"去讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通首领，\n可解锁限定角色！！[-]","[3C404E]去讨伐普通难度首领进行解锁吧！"
30,113201,20026,72026021,"去讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通首领，\n可解锁限定角色！！[-]","[3C404E]去讨伐普通难度首领进行解锁吧！"
31,113501,20027,72027021,"去讨伐普通难度首领进行解锁吧！","[3C404E]推进关卡，挑战首领！\n讨伐普通首领，\n可解锁限定角色！！[-]","[3C404E]去讨伐普通难度首领进行解锁吧！"
