skill_id,name,skill_type,skill_area_width,skill_cast_time,action_1,action_2,action_3,action_4,action_5,action_6,action_7,depend_action_1,depend_action_2,depend_action_3,depend_action_4,depend_action_5,depend_action_6,depend_action_7,description,icon_type
1001001,"日和莉突击",0,0,0.0,100100101,100100102,100100103,0,0,0,0,0,100100102,0,0,0,0,0,"对前方一名敌人造成物理伤害（大），并对其小范围内的所有敌人造成物理伤害（中）。",1001
1001002,"猫咪重击",0,0,1.125,100100201,0,0,0,0,0,0,0,0,0,0,0,0,0,"对前方一名敌人造成物理伤害（中）。",2001
1001003,"猫咪组合拳",0,0,1.295,100100301,100100302,0,0,0,0,0,0,0,0,0,0,0,0,"对前方一名敌人造成物理伤害（小），并中幅提升自身物理攻击力。",2001
1001012,"猫咪重击+",0,0,1.125,100101201,100101202,0,0,0,0,0,0,0,0,0,0,0,0,"对前方一名敌人造成物理伤害（大），并对其小范围内的所有敌人造成物理伤害（小）。",2001
1001501,"肉球力量！",0,0,0.0,100150101,0,0,0,0,0,0,0,0,0,0,0,0,0,"战斗开始时，中幅提升自身物理攻击力。",3001
1001511,"肉球力量！+",0,0,0.0,100151101,0,0,0,0,0,0,0,0,0,0,0,0,0,"战斗开始时，大幅提升自身物理攻击力。",3001
1002001,"全体治愈",1,0,0.0,100200101,0,0,0,0,0,0,0,0,0,0,0,0,0,"中幅回复己方全体生命力。",1005
1002002,"花瓣射击",1,0,1.6,100200201,0,0,0,0,0,0,0,0,0,0,0,0,0,"对前方一名敌人造成魔法伤害（中）。",2002
1002003,"花之庇护",1,0,1.46,100200301,0,0,0,0,0,0,0,0,0,0,0,0,0,"小幅提升己方全体的物理防御力。",2003
1002012,"花瓣射击+",1,0,1.6,100201201,100201202,0,0,0,0,0,0,100201201,0,0,0,0,0,"对前方一名敌人造成魔法伤害（中），并中幅降低其物理攻击力。",2002
1002501,"花之灵息",0,0,0.0,100250101,0,0,0,0,0,0,0,0,0,0,0,0,0,"战斗开始时，中幅提升自身魔法攻击力。",3003
1002511,"花之灵息+",0,0,0.0,100251101,100251102,0,0,0,0,0,0,0,0,0,0,0,0,"战斗开始时，中幅提升自身魔法攻击力，并小幅提升自身魔法防御力。",3003
