id,srt_score,mission_detail,reward_type_1,reward_id_1,reward_count_1,reward_type_2,reward_id_2,reward_count_2,reward_type_3,reward_id_3,reward_count_3,reward_type_4,reward_id_4,reward_count_4,reward_type_5,reward_id_5,reward_count_5
1,20000,"累计获得20000以上的分数吧",12,94002,5000,0,0,0,0,0,0,0,0,0,0,0,0
2,40000,"累计获得40000以上的分数吧",12,94002,10000,0,0,0,0,0,0,0,0,0,0,0,0
3,60000,"累计获得60000以上的分数吧",12,94002,15000,0,0,0,0,0,0,0,0,0,0,0,0
4,80000,"累计获得80000以上的分数吧",12,94002,20000,0,0,0,0,0,0,0,0,0,0,0,0
5,100000,"累计获得100000以上的分数吧",8,91002,50,2,23001,5,0,0,0,0,0,0,0,0,0
6,120000,"累计获得120000以上的分数吧",12,94002,25000,0,0,0,0,0,0,0,0,0,0,0,0
7,140000,"累计获得140000以上的分数吧",12,94002,30000,0,0,0,0,0,0,0,0,0,0,0,0
8,160000,"累计获得160000以上的分数吧",12,94002,35000,0,0,0,0,0,0,0,0,0,0,0,0
9,180000,"累计获得180000以上的分数吧",12,94002,40000,0,0,0,0,0,0,0,0,0,0,0,0
10,200000,"累计获得200000以上的分数吧",8,91002,50,2,23001,5,0,0,0,0,0,0,0,0,0
11,220000,"累计获得220000以上的分数吧",12,94002,55000,0,0,0,0,0,0,0,0,0,0,0,0
12,240000,"累计获得240000以上的分数吧",12,94002,35000,0,0,0,0,0,0,0,0,0,0,0,0
13,260000,"累计获得260000以上的分数吧",12,94002,40000,0,0,0,0,0,0,0,0,0,0,0,0
14,280000,"累计获得280000以上的分数吧",12,94002,45000,0,0,0,0,0,0,0,0,0,0,0,0
15,300000,"累计获得300000以上的分数吧",15,11001039,1,8,91002,150,2,23001,10,0,0,0,0,0,0
