sub_story_id,original_event_id,title,contents_type,condition_quest_id,condition_boss_id,read_condition
1006401,10064,"开幕式",4,10064104,0,0
1006402,10064,"开幕式",3,10064104,0,0
1006403,10064,"赛跑",1,10064104,0,1006402
1006404,10064,"赛跑",4,10064104,0,1006402
1006405,10064,"赛跑",2,10064104,0,1006402
1006406,10064,"骑马战",2,10064104,0,1006405
1006407,10064,"骑马战",4,10064104,0,1006405
1006408,10064,"午休",3,10064106,0,1006406
1006409,10064,"午休",4,10064106,0,1006406
1006410,10064,"学术文化展出等等",3,10064106,0,1006408
1006411,10064,"学术文化展出等等",4,10064106,0,1006408
1006412,10064,"学术文化展出等等",1,10064106,0,1006408
1006413,10064,"侍女风服务员咖啡店",4,10064108,0,1006410
1006414,10064,"侍女风服务员咖啡店",3,10064108,0,1006410
1006415,10064,"综合接力赛",3,10064113,0,1006414
1006416,10064,"综合接力赛",4,10064113,0,1006414
1006417,10064,"仪式舞台",1,10064115,1006401,1006415
1006418,10064,"仪式舞台",4,10064115,1006401,1006415
1006419,10064,"仪式舞台",2,10064115,1006401,1006415
1006420,10064,"闭幕式",3,10064115,1006401,1006419
1006421,10064,"闭幕式",4,10064115,1006401,1006419
1006422,10064,"完成动画",4,10064115,1006401,1006420
