sub_story_id,original_event_id,title,read_condition_time,condition_quest_id,condition_boss_id,read_condition
1007001,10070,"絵日記その1",0,10070101,0,0
1007002,10070,"絵日記その2",0,10070101,0,1007001
1007003,10070,"絵日記その3",0,10070103,0,1007002
1007004,10070,"絵日記その4",0,10070106,0,1007003
1007005,10070,"絵日記その5",0,10070107,0,1007004
1007006,10070,"絵日記その6",0,10070110,0,1007005
1007007,10070,"絵日記その7",0,10070112,0,1007006
1007008,10070,"絵日記その8",0,10070115,1007001,1007007
1007009,10070,"エリコの絵日記",0,10070115,1007001,1007007
1007010,10070,"シズルの絵日記",0,10070115,1007001,1007007
1007011,10070,"絵日記その1(添削)","2021/07/14 21:00:00",10070101,0,0
1007012,10070,"絵日記その2(添削)","2021/07/14 21:00:00",10070101,0,0
1007013,10070,"絵日記その3(添削)","2021/07/14 21:00:00",10070103,0,0
1007014,10070,"絵日記その4(添削)","2021/07/14 21:00:00",10070106,0,0
1007015,10070,"絵日記その5(添削)","2021/07/14 21:00:00",10070107,0,0
1007016,10070,"絵日記その6(添削)","2021/07/14 21:00:00",10070110,0,0
1007017,10070,"絵日記その7(添削)","2021/07/14 21:00:00",10070112,0,0
1007018,10070,"絵日記その8(添削)","2021/07/14 21:00:00",10070115,1007001,0
1007019,10070,"エリコの絵日記(添削)","2021/07/14 21:00:00",10070115,1007001,0
1007020,10070,"シズルの絵日記(添削)","2021/07/14 21:00:00",10070115,1007001,0
