id,kanji
1,"異"
2,"遺"
3,"域"
4,"宇"
5,"映"
6,"延"
7,"沿"
8,"我"
9,"灰"
10,"拡"
11,"革"
12,"閣"
13,"割"
14,"株"
15,"干"
16,"巻"
17,"看"
18,"簡"
19,"危"
20,"机"
21,"揮"
22,"貴"
23,"疑"
24,"吸"
25,"供"
26,"胸"
27,"郷"
28,"勤"
29,"筋"
30,"系"
31,"敬"
32,"警"
33,"劇"
34,"激"
35,"穴"
36,"絹"
37,"権"
38,"憲"
39,"源"
40,"厳"
41,"己"
42,"呼"
43,"誤"
44,"后"
45,"孝"
46,"皇"
47,"紅"
48,"降"
49,"鋼"
50,"刻"
51,"穀"
52,"骨"
53,"困"
54,"砂"
55,"座"
56,"済"
57,"裁"
58,"策"
59,"冊"
60,"蚕"
61,"至"
62,"私"
63,"姿"
64,"視"
65,"詞"
66,"誌"
67,"磁"
68,"射"
69,"捨"
70,"尺"
71,"若"
72,"樹"
73,"収"
74,"宗"
75,"就"
76,"衆"
77,"従"
78,"縦"
79,"縮"
80,"熟"
81,"純"
82,"処"
83,"署"
84,"諸"
85,"除"
86,"将"
87,"傷"
88,"障"
89,"城"
90,"蒸"
91,"針"
92,"仁"
93,"垂"
94,"推"
95,"寸"
96,"盛"
97,"聖"
98,"誠"
99,"宣"
100,"専"
101,"泉"
102,"洗"
103,"染"
104,"善"
105,"奏"
106,"窓"
107,"創"
108,"装"
109,"層"
110,"操"
111,"蔵"
112,"臓"
113,"存"
114,"尊"
115,"宅"
116,"担"
117,"探"
118,"誕"
119,"段"
120,"暖"
121,"値"
122,"宙"
123,"忠"
124,"著"
125,"庁"
126,"頂"
127,"潮"
128,"賃"
129,"痛"
130,"展"
131,"討"
132,"党"
133,"糖"
134,"届"
135,"難"
136,"乳"
137,"認"
138,"納"
139,"脳"
140,"派"
141,"拝"
142,"背"
143,"肺"
144,"俳"
145,"班"
146,"晩"
147,"否"
148,"批"
149,"秘"
150,"腹"
151,"奮"
152,"並"
153,"陛"
