taq_no,necessary_word_1,unnecessary_word_1,necessary_word_2,unnecessary_word_2,necessary_word_3,unnecessary_word_3,necessary_word_4,unnecessary_word_4,necessary_word_5,unnecessary_word_5
1082,"","","","イ","","","","","",""
1107,"","","","オ","","","","","",""
1176,"","","","","","","","","","ツ"
1189,"","ホ","","ー","","ル","","","",""
1192,"","","","ゥー","","","","","",""
1245,"","","","イ","","","","","",""
1250,"","","","","","ちそ","","ゃさ","",""
2013,"トメア","イ","ナメア","ト","ナイア","メ","ナイト","ア","イトメ","ナ"
2014,"ンドル","ソ","ドソル","ラ","ランル","","ランド","ル","ラドソ","ン"
2015,"るのと","","そのう","と","そるう","","そるの","う","そのと","る"
2016,"のとう","な","るのう","と","るなと","う","るなう","の","なのと","る"
2017,"くうて","","ひてい","う","ひくて","い","ひくう","","ひうて","く"
2019,"","","ふん","ゃ","ふゃ","し","ふゃ","ん","しん","ふ"
2020,"ぎしゅ","わ","むゅわ","し","ぎゅわ","む","むしわ","ぎ","むぎし","ゅ"
2031,S,"","","",E,"","","","",""
2032,"","","","","","",AE,"","",""
2033,"","",R,"",A,"","","","",""
2034,"","",I,"",E,"","","","",""
2036,"","",R,"",UA,"","","","",""
2037,"","",L,"",E,"",Y,"",E,""
2038,"","",L,"",E,"",I,"",V,""
2040,"","",I,"",L,"","","","",""
2041,"","",A,"","","","","","",""
2042,Y,"","","","","","","","",""
2043,K,"",A,"","","","","","",""
2045,"","",A,"","","","","","",""
2046,Q,"",R,"","","","","","",""
2047,"","",R,"",A,"","","","",""
2048,KQ,"",A,"","","","","","",""
2049,"","","","",B,"","","","",""
2050,"","",A,"",U,"",T,"","",""
2052,"","",C,"",EI,"",P,"","",""
2053,"","",A,"",I,"",T,"","",""
2054,"","","","","","",S,"","",""
2055,"","",R,"","","","","","",""
2056,"","","","",V,"","","","",""
2058,"","",WU,"","","","","","",""
2059,R,"","","","","","","","",""
2060,R,"","","","","","","","",""
2062,"","",S,"","","","","","",""
2063,"","",E,"",A,"",S,"",S,""
2064,"","",A,"","","",A,"","",""
2065,"","","","",A,"",S,"","",""
2066,C,"","","","","","","","",""
2067,"","","","",B,"","","","",""
2068,L,"","","",I,"","","","",""
2069,C,"",E,"","","","","","",""
2070,"","","","",E,"","","",D,""
2071,"","","","",A,"",I,"",N,""
2074,"","",C,"","","",A,"","",""
2077,"","",A,"","","",A,"","",""
2092,"","","","","","","","し","","ち"
2130,"フ","","ァ","","ン","","ト","","ム",""
2200,"","視","","聴言","","わ","","聞聴","","か"
2201,"","","","","","","","ビブ","","ー"
2202,"","","","","","","","ル","",""
2216,"","麦","","飯","","鯉","","","",""
2261,"","し","","ゅ","","う","","","",""
2264,"","","","","","","","","","ぅ"
2266,"","","","ー","","","","","",""
2295,"","ひ","","ふ","","く","","き","","ん"
2313,"","","","","","","","だ","",""
3020,"ル","","ナ","","","","","","",""
3066,"","フ","","ェ","","","","","",""
3068,"","く","","","","","","","",""
3073,"","","","","","が","","","",""
3084,"","","","","","","","生","",""
3158,"","","","","","","","ア","",""
3165,"","","","","","ひ","","","",""
3187,"","","","","","","","か","",""
3191,"","","","","","デ","","シス","","オ"
3193,"","","","","","","","さ","","ま"
3195,"ブ","","","","","","","","",""
3222,"","","","","","ス","","","",""
3238,"","","","","","","","ず","",""
3271,"","","","","","","","帰","",""
3277,"","","","ク","","","","","",""
3318,"","","","","","ア","","","",""
4029,"","","","","","","","し","","ち"
4049,"","","","","","","","","",X
4052,"","","","","","","","た","",""
4077,"","","","","","","","さ","",""
4154,"","","","","","","","","","帯"
4157,"","","","","そ","","","","",""
4167,"","","","","い","","","","",""
4171,"二","","","","","","","","",""
4194,"","","小","","","","倍","","",""
4195,"","","大","","","","約","","",""
4196,"","高","","","","底","","","",""
4197,"半","","","","","","","","",""
4203,"","","","","","","","く","",""
4220,"","","","","","ウ","","","",""
4222,"","","","ィ","","","","","",""
4247,"","セ","","","","","","","",""
5010,"","","","","","ー","","","",""
5011,"","","","","","ワ","","","",""
5030,"","","","","","","ラモ","","テカ",""
5031,"","","","","","","オモ","","レカ",""
5051,"","","","","","ー","","","",""
5066,"","","","お","","か","","ら","",""
5100,"","","","","","ぶ","","","",""
5109,"み","","つ","","","","じ","","つ",""
5140,"カ","","ウ","","ン","","タ","","ー",""
5147,"","","","","","","","","","ロ"
5160,"","","","","","と","","","",""
5193,"卯辰戌","","戌酉卯","牛","戌卯辰","虎","戌酉子","","卯戌子",""
6060,"","","","","","","","","","ト"
6065,"","","","","","ほ","","","",""
6157,"","","","","","","","ィ","",""
6188,"","","","","","","","","ト",""
6203,"","イ","","ン","","ド","","","",""
6216,"","","","","","ク","","ジ","","ラ"
6227,"チ","","ョ","","ウ","","","","",""
