id,score,mission_detail,reward_type_1,reward_id_1,reward_count_1,reward_type_2,reward_id_2,reward_count_2,reward_type_3,reward_id_3,reward_count_3,reward_type_4,reward_id_4,reward_count_4,reward_type_5,reward_id_5,reward_count_5
1,10000,"累計スコアを10000pt 獲得しよう",12,94002,100000,0,0,0,0,0,0,0,0,0,0,0,0
2,20000,"累計スコアを20000pt 獲得しよう",8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
3,30000,"累計スコアを30000pt 獲得しよう",12,94002,100000,0,0,0,0,0,0,0,0,0,0,0,0
4,50000,"累計スコアを50000pt 獲得しよう",8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
5,80000,"累計スコアを80000pt 獲得しよう",12,94002,100000,0,0,0,0,0,0,0,0,0,0,0,0
6,100000,"累計スコアを100000pt 獲得しよう",12,94002,100000,0,0,0,0,0,0,0,0,0,0,0,0
7,120000,"累計スコアを120000pt 獲得しよう",8,91002,100,0,0,0,0,0,0,0,0,0,0,0,0
8,150000,"累計スコアを150000pt 獲得しよう",12,94002,200000,0,0,0,0,0,0,0,0,0,0,0,0
9,200000,"累計スコアを200000pt 獲得しよう",12,94002,200000,0,0,0,0,0,0,0,0,0,0,0,0
10,250000,"累計スコアを250000pt 獲得しよう",8,91002,100,0,0,0,0,0,0,0,0,0,0,0,0
11,300000,"累計スコアを300000pt 獲得しよう",12,94002,200000,0,0,0,0,0,0,0,0,0,0,0,0
12,350000,"累計スコアを350000pt 獲得しよう",12,94002,200000,0,0,0,0,0,0,0,0,0,0,0,0
13,400000,"累計スコアを400000pt 獲得しよう",8,91002,100,0,0,0,0,0,0,0,0,0,0,0,0
