unit_id,sort_order,personality_id,genre_status_1,genre_status_2,genre_status_3,genre_status_4,genre_status_5,genre_status_6
100101,6,2,1,2,3,3,2,1
100201,5,1,3,1,2,3,1,2
100301,7,3,1,1,3,2,2,3
100401,13,2,1,2,3,2,2,3
100501,18,2,2,2,1,3,3,2
100601,25,2,1,1,2,3,3,2
100701,26,3,3,2,2,3,1,2
100801,40,3,3,2,1,2,1,3
100901,34,3,1,1,3,2,3,2
101001,8,1,3,1,2,3,1,2
101101,56,2,2,3,2,3,1,2
101201,43,2,1,3,3,1,2,2
101301,33,2,1,1,1,3,3,3
101401,11,1,3,1,1,2,2,2
101501,42,1,3,1,2,2,1,3
101601,46,2,2,3,1,3,1,3
101701,10,2,1,3,1,3,2,2
101801,45,1,3,1,1,2,2,3
102001,12,1,2,2,3,3,2,1
102101,30,1,1,1,2,3,2,3
102201,24,1,1,3,2,1,2,3
102301,31,2,1,2,3,3,3,1
102501,29,1,3,3,1,2,1,2
102601,51,1,3,2,2,3,1,1
102701,36,3,2,2,3,1,1,3
102801,28,1,2,2,1,2,1,3
102901,52,1,2,2,2,3,1,2
103001,39,2,2,1,1,3,2,3
103101,27,3,3,2,3,2,1,1
103201,19,2,3,2,3,1,1,2
103301,48,2,2,1,3,3,2,1
103401,20,1,2,2,2,1,3,2
103601,14,3,3,2,1,1,3,2
103701,17,3,1,2,1,2,3,3
103801,49,3,3,1,2,2,3,1
104001,44,1,2,3,2,1,3,1
104201,53,3,3,2,1,2,2,2
104301,9,3,1,3,3,2,1,2
104401,23,3,3,1,3,2,2,1
104501,38,1,2,1,2,2,3,2
104601,21,2,3,3,2,2,1,1
104701,15,3,1,3,1,2,3,2
104801,22,3,1,3,2,1,2,3
104901,55,1,2,2,3,2,1,2
105001,47,1,2,3,1,3,2,2
105101,35,3,3,3,1,1,2,1
105201,50,2,2,2,2,3,1,2
105301,37,3,1,2,3,2,1,3
105401,54,2,2,3,2,3,1,1
105501,41,1,2,1,3,2,3,1
105601,32,3,1,3,2,3,1,2
105701,67,1,1,2,2,3,2,2
105801,1,2,2,2,2,3,1,2
105901,2,1,3,1,2,2,2,2
106001,3,3,2,3,1,2,3,1
106101,58,2,1,2,3,3,2,2
106301,68,1,1,2,3,3,2,1
106401,4,1,1,2,2,3,3,2
106501,61,3,1,2,1,3,3,2
106601,62,2,3,2,1,3,3,1
106701,60,3,2,1,1,2,2,2
106801,57,1,1,2,1,1,3,2
107001,59,3,3,1,2,1,2,1
107101,16,3,1,2,2,1,2,3
109201,70,1,2,1,2,2,2,2
109301,72,2,2,3,2,3,1,2
109401,71,3,1,3,1,2,2,3
110801,64,1,1,3,2,2,2,2
110901,65,2,2,2,1,2,1,3
111001,63,3,3,1,1,3,2,1
111401,69,2,2,3,2,2,3,1
118001,66,2,3,3,1,1,2,2
