tower_area_id,max_floor_num,area_bg,tower_bgm,cloister_quest_id
1,70,81000104,bgm_M125,0
2,110,81000104,bgm_M125,0
3,130,81000104,bgm_M125,0
4,150,81000104,bgm_M125,0
5,170,81000104,bgm_M125,0
6,190,81000104,bgm_M125,0
7,210,81000104,bgm_M125,0
8,230,81000104,bgm_M125,0
9,250,81000104,bgm_M125,0
10,270,81000104,bgm_M125,0
11,290,81000104,bgm_M125,0
12,310,81000104,bgm_M125,0
13,330,81000104,bgm_M125,0
14,350,81000104,bgm_M125,73140350
15,360,81000104,bgm_M125,73150360
16,370,81000104,bgm_M125,73160370
17,380,81000104,bgm_M125,73170380
18,390,81000104,bgm_M125,73180390
19,400,81000104,bgm_M125,73190400
20,410,81000104,bgm_M125,73200410
21,420,81000104,bgm_M125,73210420
22,430,81000104,bgm_M125,73220430
23,440,81000104,bgm_M125,73230440
24,450,81000104,bgm_M125,73240450
25,460,81000104,bgm_M125,73250460
26,470,81000104,bgm_M125,73260470
27,480,81000104,bgm_M125,73270480
28,490,81000104,bgm_M125,73280490
29,500,81000104,bgm_M125,73290500
30,510,81000104,bgm_M125,73300510
31,520,81000104,bgm_M125,73310520
32,530,81000104,bgm_M125,73320530
33,540,81000104,bgm_M125,73330540
34,550,81000104,bgm_M125,73340550
35,560,81000104,bgm_M125,73350560
36,570,81000104,bgm_M125,73360570
37,580,81000104,bgm_M125,73370580
38,590,81000104,bgm_M125,73380590
39,600,81000104,bgm_M125,73390600
