quest_id,category_id,difficulty,battle_name,detail_bg_id,detail_bg_position,detail_boss_bg_size,detail_boss_bg_height,result_boss_position_y,limit_time,background,wave_group_id,wave_bgm_sheet_id,wave_bgm_que_id,clear_reward_group
90110001,1,1,EASY,100113,0,1,0,0,90,100113,701000101,bgm_M57,bgm_M57,110001
90110002,1,2,NORMAL,100113,0,1,0,0,90,100113,701000102,bgm_M57,bgm_M57,110001
90110003,1,3,HARD,100113,0,1,0,0,90,100113,701000103,bgm_M57,bgm_M57,110001
90110004,1,4,"VERY HARD",100113,0,1,0,0,90,100113,701000104,bgm_M57,bgm_M57,110001
90110005,1,5,EXTREME,100113,0,1,0,0,90,100113,701000105,bgm_M57,bgm_M57,110001
90120001,2,1,EASY,103013,0,1,0,0,90,103013,701000201,bgm_M169,bgm_M169,120001
90120002,2,2,NORMAL,103013,0,1,0,0,90,103013,701000202,bgm_M169,bgm_M169,120001
90120003,2,3,HARD,103013,0,1,0,0,90,103013,701000203,bgm_M169,bgm_M169,120001
90120004,2,4,"VERY HARD",103013,0,1,0,0,90,103013,701000204,bgm_M169,bgm_M169,120001
90120005,2,5,EXTREME,103013,0,1,0,0,90,103013,701000205,bgm_M169,bgm_M169,120001
90130001,3,1,EASY,100113,0,1,0,0,90,100113,701000301,bgm_M64,bgm_M64,130001
90130002,3,2,NORMAL,100113,0,1,0,0,90,100113,701000302,bgm_M64,bgm_M64,130001
90130003,3,3,HARD,100113,0,1,0,0,90,100113,701000303,bgm_M64,bgm_M64,130001
90130004,3,4,"VERY HARD",100113,0,1,0,0,90,100113,701000304,bgm_M64,bgm_M64,130001
90130005,3,5,EXTREME,100113,0,1,0,0,90,100113,701000305,bgm_M64,bgm_M64,130001
90140001,4,1,EASY,100113,0,1,0,0,90,100113,701000401,bgm_M07,bgm_M07,140001
90140002,4,2,NORMAL,100113,0,1,0,0,90,100113,701000402,bgm_M07,bgm_M07,140001
90140003,4,3,HARD,100113,0,1,0,0,90,100113,701000403,bgm_M07,bgm_M07,140001
90140004,4,4,"VERY HARD",100113,0,1,0,0,90,100113,701000404,bgm_M07,bgm_M07,140001
90140005,4,5,EXTREME,100113,0,1,0,0,90,100113,701000405,bgm_M07,bgm_M07,140001
90150001,5,1,EASY,103013,0,1,0,0,90,103013,701000501,bgm_M170,bgm_M170,150001
90150002,5,2,NORMAL,103013,0,1,0,0,90,103013,701000502,bgm_M170,bgm_M170,150001
90150003,5,3,HARD,103013,0,1,0,0,90,103013,701000503,bgm_M170,bgm_M170,150001
90150004,5,4,"VERY HARD",103013,0,1,0,0,90,103013,701000504,bgm_M170,bgm_M170,150001
90150005,5,5,EXTREME,103013,0,1,0,0,90,103013,701000505,bgm_M170,bgm_M170,150001
