id,ttk_score,mission_detail,reward_type_1,reward_id_1,reward_count_1,reward_type_2,reward_id_2,reward_count_2,reward_type_3,reward_id_3,reward_count_3,reward_type_4,reward_id_4,reward_count_4,reward_type_5,reward_id_5,reward_count_5
1,32000,"累计获得32000以上的分数吧",12,94002,20000,0,0,0,0,0,0,0,0,0,0,0,0
2,64000,"累计获得64000以上的分数吧",12,94002,30000,0,0,0,0,0,0,0,0,0,0,0,0
3,96000,"累计获得96000以上的分数吧",12,94002,40000,0,0,0,0,0,0,0,0,0,0,0,0
4,128000,"累计获得128000以上的分数吧",12,94002,50000,0,0,0,0,0,0,0,0,0,0,0,0
5,160000,"累计获得160000以上的分数吧",8,91002,25,0,0,0,0,0,0,0,0,0,0,0,0
6,192000,"累计获得192000以上的分数吧",15,11001071,1,0,0,0,0,0,0,0,0,0,0,0,0
7,224000,"累计获得224000以上的分数吧",2,23001,20,0,0,0,0,0,0,0,0,0,0,0,0
8,256000,"累计获得256000以上的分数吧",8,91002,50,0,0,0,0,0,0,0,0,0,0,0,0
9,288000,"累计获得288000以上的分数吧",12,94002,70000,0,0,0,0,0,0,0,0,0,0,0,0
10,320000,"累计获得320000以上的分数吧",12,94002,80000,0,0,0,0,0,0,0,0,0,0,0,0
11,352000,"累计获得352000以上的分数吧",8,91002,75,0,0,0,0,0,0,0,0,0,0,0,0
12,384000,"累计获得384000以上的分数吧",12,94002,100000,0,0,0,0,0,0,0,0,0,0,0,0
13,416000,"累计获得416000以上的分数吧",2,23001,45,0,0,0,0,0,0,0,0,0,0,0,0
14,448000,"累计获得448000以上的分数吧",8,91002,100,0,0,0,0,0,0,0,0,0,0,0,0
15,480000,"累计获得480000以上的分数吧",15,11001072,1,0,0,0,0,0,0,0,0,0,0,0,0
