unit_id,promotion_level,equip_slot_1,equip_slot_2,equip_slot_3,equip_slot_4,equip_slot_5,equip_slot_6
100101,1,101101,101101,101281,101431,101071,101581
100101,2,102101,102071,102341,102431,101101,101581
100101,3,103071,102101,102342,102432,102071,102581
100101,4,103101,103071,103341,103431,102101,102582
100101,5,103072,103101,103342,103432,103071,103581
100101,6,104101,103072,103343,103432,103552,103582
100101,7,104102,104101,104341,103583,103072,103552
100101,8,104103,104102,104342,104101,104551,103553
100101,9,104104,104103,104343,104102,104552,104551
100101,10,105101,104104,104284,104103,104553,104552
100101,11,105102,105101,105341,104344,105551,104554
100101,12,105103,105102,105282,105341,105552,105551
100101,13,105104,105103,105343,105342,105553,105552
100101,14,105105,105104,105344,105343,105554,105553
100101,15,105106,105105,105285,105344,105555,105554
100101,16,105107,105106,105286,105285,105556,105555
100101,17,106101,105107,105287,105286,105557,105556
100101,18,106102,106101,106281,105287,106551,105557
100101,19,106103,106102,106282,106281,106552,106551
100101,20,999999,106103,999999,106282,106553,106552
100201,1,101251,101251,101371,101521,101611,101581
100201,2,102252,102251,102371,102461,101611,101611
100201,3,103251,102252,102372,102521,102612,102581
100201,4,103252,103251,103521,103521,102613,102614
100201,5,103222,103252,103371,103461,103612,103581
100201,6,104251,103222,103372,103522,103613,103613
100201,7,104252,104251,104371,103614,103614,103461
100201,8,104253,104252,104372,104461,104611,103614
100201,9,104254,104253,104523,104522,104612,104611
100201,10,105251,104254,104373,104523,104613,104612
100201,11,105252,105251,105371,104373,105581,104613
100201,12,105253,105252,105522,105371,105582,105581
100201,13,105254,105253,105462,105372,105583,105582
100201,14,105255,105254,105374,105373,105584,105583
100201,15,105256,105255,105463,105374,105585,105584
100201,16,105257,105256,105524,105463,105586,105585
100201,17,106251,105257,105464,105524,105587,105586
100201,18,106252,106251,106461,105464,106581,105587
100201,19,106253,106252,106521,106461,106582,106581
100201,20,999999,106253,999999,106372,106583,106582
100301,1,101011,101011,101281,101401,101071,101581
100301,2,102014,102011,102311,102493,101071,101551
100301,3,103011,102014,102282,102401,102071,102551
100301,4,103012,103011,103311,103581,102582,102552
100301,5,103013,103012,103282,103401,103071,103551
100301,6,104011,103013,103283,103401,103552,103552
100301,7,104012,104011,104311,103553,103072,103582
